Year,Sexo,Value
2021,,1.6
2020,,2.48
2019,,1.72
2018,,1.83
2017,,2.42
2016,,1.66
2015,,0.92
2014,,2.52
2013,,1.93
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2021,Hombres,1.34
2020,Hombres,2.44
2019,Hombres,2.34
2018,Hombres,2.24
2017,Hombres,3.43
2016,Hombres,2.34
2015,Hombres,1.2
2014,Hombres,2.86
2013,Hombres,1.16
2012,Hombres,2.63
2011,Hombres,2.33
2010,Hombres,2.49
2009,Hombres,3.06
2021,Mujeres,1.89
2020,Mujeres,2.51
2019,Mujeres,1.06
2018,Mujeres,1.39
2017,Mujeres,1.34
2016,Mujeres,0.93
2015,Mujeres,0.63
2014,Mujeres,2.15
2013,Mujeres,2.74
2012,Mujeres,0.56
2011,Mujeres,1.61
2010,Mujeres,3.42
2009,Mujeres,2.64
