Year,Sexe,Value
2020,,2.48
2019,,1.72
2018,,1.83
2017,,2.42
2016,,1.66
2015,,0.92
2014,,2.52
2013,,1.93
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2020,Homes,2.44
2019,Homes,2.34
2018,Homes,2.24
2017,Homes,3.43
2016,Homes,2.34
2015,Homes,1.2
2014,Homes,2.86
2013,Homes,1.16
2012,Homes,2.63
2011,Homes,2.33
2010,Homes,2.49
2009,Homes,3.06
2020,Dones,2.51
2019,Dones,1.06
2018,Dones,1.39
2017,Dones,1.34
2016,Dones,0.93
2015,Dones,0.63
2014,Dones,2.15
2013,Dones,2.74
2012,Dones,0.56
2011,Dones,1.61
2010,Dones,3.42
2009,Dones,2.64
