Year,Sexe,Edat,Value
2020,,,12.2
2019,,,4.7
2018,,,4.0
2017,,,7.4
2016,,,7.9
2015,,,6.4
2014,,,11.5
2013,,,8.2
2012,,,5.1
2020,Homes,,9.7
2019,Homes,,3.4
2018,Homes,,3.8
2017,Homes,,6.8
2016,Homes,,6.8
2015,Homes,,6.7
2014,Homes,,11.4
2013,Homes,,8.4
2012,Homes,,6.0
2020,Dones,,14.4
2019,Dones,,5.9
2018,Dones,,3.2
2017,Dones,,7.8
2016,Dones,,8.5
2015,Dones,,6.3
2014,Dones,,10.9
2013,Dones,,8.0
2012,Dones,,4.6
2020,,<16,17.6
2019,,<16,8.3
2018,,<16,7.0
2017,,<16,12.3
2016,,<16,11.9
2015,,<16,13.7
2014,,<16,19.5
2013,,<16,12.1
2012,,<16,6.2
