Year,Sexe,Edat,GeoCode,Value
2009,,,,23.86
2010,,,,19.37
2011,,,,21.13
2012,,,,19.08
2013,,,,21.75
2014,,,,18.54
2015,,,,18.87
2016,,,,16.8
2017,,,,20.24
2018,,,,24.59
2019,,,,25.67
2009,Homes,,,21.69
2010,Homes,,,17.56
2011,Homes,,,17.72
2012,Homes,,,18.34
2013,Homes,,,18.52
2014,Homes,,,16.75
2015,Homes,,,15.91
2016,Homes,,,15.87
2017,Homes,,,18.19
2018,Homes,,,21.86
2019,Homes,,,23.17
2009,Dones,,,25.88
2010,Dones,,,21.04
2011,Dones,,,24.27
2012,Dones,,,19.76
2013,Dones,,,24.71
2014,Dones,,,20.18
2015,Dones,,,21.59
2016,Dones,,,17.64
2017,Dones,,,22.11
2018,Dones,,,27.06
2019,Dones,,,27.93
2009,,<30,,0.39
2010,,<30,,0.0
2011,,<30,,0.0
2012,,<30,,0.0
2013,,<30,,0.0
2014,,<30,,0.0
2015,,<30,,0.0
2016,,<30,,0.0
2017,,<30,,0.0
2018,,<30,,0.0
2019,,<30,,0.0
2009,,30 a 69,,4.43
2010,,30 a 69,,4.22
2011,,30 a 69,,4.24
2012,,30 a 69,,4.68
2013,,30 a 69,,2.68
2014,,30 a 69,,2.92
2015,,30 a 69,,3.81
2016,,30 a 69,,2.91
2017,,30 a 69,,4.25
2018,,30 a 69,,3.59
2019,,30 a 69,,2.93
2009,,>=70,,164.13
2010,,>=70,,128.67
2011,,>=70,,138.73
2012,,>=70,,120.25
2013,,>=70,,144.96
2014,,>=70,,118.43
2015,,>=70,,115.36
2016,,>=70,,102.91
2017,,>=70,,119.73
2018,,>=70,,149.28
2019,,>=70,,156.1
2015,,,1.0,27.42
2015,,,2.0,23.39
2015,,,3.0,24.97
2015,,,4.0,9.79
2015,,,5.0,21.03
2015,,,6.0,12.41
2015,,,7.0,29.94
2015,,,8.0,17.7
2015,,,9.0,20.59
2015,,,10.0,16.91
2015,,,11.0,21.17
2015,,,12.0,17.62
2015,,,13.0,22.16
2015,,,14.0,17.12
2015,,,15.0,13.32
2015,,,16.0,12.06
2015,,,17.0,21.54
2015,,,18.0,16.99
2015,,,19.0,29.46
