Year,Sexe,Edat,Value
2009,,,0.62
2010,,,0.87
2011,,,0.75
2012,,,0.88
2013,,,0.25
2014,,,0.51
2015,,,0.0
2016,,,0.51
2017,,,0.13
2018,,,0.25
2019,,,0.13
2009,Homes,,0.77
2010,Homes,,1.29
2011,Homes,,1.3
2012,Homes,,1.83
2013,Homes,,0.53
2014,Homes,,0.8
2015,Homes,,0.0
2016,Homes,,1.06
2017,Homes,,0.26
2018,Homes,,0.26
2019,Homes,,0.26
2009,Dones,,0.47
2010,Dones,,0.48
2011,Dones,,0.24
2012,Dones,,0.0
2013,Dones,,0.0
2014,Dones,,0.24
2015,Dones,,0.0
2016,Dones,,0.0
2017,Dones,,0.0
2018,Dones,,0.24
2019,Dones,,0.0
2009,,<30,0.39
2010,,<30,0.4
2011,,<30,0.0
2012,,<30,0.0
2013,,<30,0.0
2014,,<30,0.0
2015,,<30,0.0
2016,,<30,0.0
2017,,<30,0.0
2018,,<30,0.0
2019,,<30,0.0
2009,,30 a 69,0.66
2010,,30 a 69,1.11
2011,,30 a 69,0.89
2012,,30 a 69,1.56
2013,,30 a 69,0.45
2014,,30 a 69,0.67
2015,,30 a 69,0.0
2016,,30 a 69,0.22
2017,,30 a 69,0.0
2018,,30 a 69,0.22
2019,,30 a 69,0.23
2009,,>=70,0.95
2010,,>=70,0.94
2011,,>=70,1.85
2012,,>=70,0.0
2013,,>=70,0.0
2014,,>=70,0.89
2015,,>=70,0.0
2016,,>=70,2.57
2017,,>=70,0.84
2018,,>=70,0.83
2019,,>=70,0.0
