Year,Sexe,Edat,Value
2021,,,0.13
2020,,,0.87
2019,,,0.38
2018,,,0.25
2017,,,0.38
2016,,,0.51
2015,,,0.38
2014,,,0.76
2013,,,0.38
2012,,,0.63
2011,,,0.38
2010,,,0.74
2009,,,0.62
2021,Homes,,0.26
2020,Homes,,1.05
2019,Homes,,0.53
2018,Homes,,0.53
2017,Homes,,0.53
2016,Homes,,0.53
2015,Homes,,0.53
2014,Homes,,0.8
2013,Homes,,0.53
2012,Homes,,1.05
2011,Homes,,0.52
2010,Homes,,0.52
2009,Homes,,1.02
2021,Dones,,0.0
2020,Dones,,0.71
2019,Dones,,0.24
2018,Dones,,0.0
2017,Dones,,0.24
2016,Dones,,0.48
2015,Dones,,0.24
2014,Dones,,0.73
2013,Dones,,0.24
2012,Dones,,0.24
2011,Dones,,0.24
2010,Dones,,0.96
2009,Dones,,0.24
2021,,<30,0.0
2020,,<30,0.0
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2021,,30 a 69,0.0
2020,,30 a 69,0.68
2019,,30 a 69,0.45
2018,,30 a 69,0.22
2017,,30 a 69,0.0
2016,,30 a 69,0.0
2015,,30 a 69,0.22
2014,,30 a 69,0.22
2013,,30 a 69,0.45
2012,,30 a 69,0.45
2011,,30 a 69,0.45
2010,,30 a 69,0.0
2009,,30 a 69,0.66
2021,,>=70,0.79
2020,,>=70,3.2
2019,,>=70,0.81
2018,,>=70,0.83
2017,,>=70,2.53
2016,,>=70,3.43
2015,,>=70,1.75
2014,,>=70,4.45
2013,,>=70,0.91
2012,,>=70,2.75
2011,,>=70,0.92
2010,,>=70,5.64
2009,,>=70,1.9
