Year,Sexe,Edat,Value
2012,,,19.6
2013,,,13.3
2014,,,17.0
2015,,,16.1
2016,,,20.9
2017,,,22.3
2018,,,23.8
2019,,,22.8
2012,Homes,,21.2
2013,Homes,,14.0
2014,Homes,,17.1
2015,Homes,,17.3
2016,Homes,,21.8
2017,Homes,,21.6
2018,Homes,,22.3
2019,Homes,,21.7
2012,Dones,,19.1
2013,Dones,,13.7
2014,Dones,,17.4
2015,Dones,,15.3
2016,Dones,,19.2
2017,Dones,,22.3
2018,Dones,,24.9
2019,Dones,,23.7
2012,,<16,21.3
2013,,<16,16.4
2014,,<16,19.7
2015,,<16,22.7
2016,,<16,29.9
2017,,<16,31.6
2018,,<16,30.5
2019,,<16,29.5
