Year,Sexe,Edat,Value
2009,,,56.34
2010,,,57.36
2011,,,61.89
2012,,,57.74
2013,,,59.31
2014,,,60.84
2015,,,62.58
2016,,,62.76
2017,,,61.99
2018,,,58.84
2019,,,56.35
2009,Homes,,96.22
2010,Homes,,97.88
2011,Homes,,103.21
2012,Homes,,91.44
2013,Homes,,97.34
2014,Homes,,99.19
2015,Homes,,102.86
2016,Homes,,98.15
2017,Homes,,95.98
2018,Homes,,87.19
2019,Homes,,88.21
2009,Dones,,19.23
2010,Dones,,19.85
2011,Dones,,23.79
2012,Dones,,26.75
2013,Dones,,24.47
2014,Dones,,25.78
2015,Dones,,25.71
2016,Dones,,30.45
2017,Dones,,31.01
2018,Dones,,33.05
2019,Dones,,27.46
2009,,<30,0.0
2010,,<30,0.0
2011,,<30,0.0
2012,,<30,0.42
2013,,<30,0.0
2014,,<30,0.0
2015,,<30,0.0
2016,,<30,0.0
2017,,<30,0.0
2018,,<30,0.43
2019,,<30,0.0
2009,,30 a 69,48.3
2010,,30 a 69,49.55
2011,,30 a 69,57.75
2012,,30 a 69,50.11
2013,,30 a 69,50.1
2014,,30 a 69,55.65
2015,,30 a 69,54.87
2016,,30 a 69,58.67
2017,,30 a 69,52.81
2018,,30 a 69,48.01
2019,,30 a 69,50.45
2009,,>=70,227.69
2010,,>=70,224.47
2011,,>=70,218.27
2012,,>=70,214.8
2013,,>=70,221.97
2014,,>=70,205.69
2015,,>=70,217.61
2016,,>=70,201.53
2017,,>=70,216.69
2018,,>=70,210.64
2019,,>=70,183.75
