Year,Sexe,Edat,Value
2012,,,26.1
2013,,,23.9
2014,,,29.4
2015,,,26.4
2016,,,28.5
2017,,,27.7
2018,,,29.8
2019,,,24.9
2012,Homes,,27.8
2013,Homes,,24.8
2014,Homes,,30.1
2015,Homes,,28.9
2016,Homes,,28.6
2017,Homes,,27.5
2018,Homes,,30.0
2019,Homes,,24.3
2012,Dones,,25.9
2013,Dones,,23.4
2014,Dones,,28.5
2015,Dones,,24.0
2016,Dones,,27.5
2017,Dones,,27.7
2018,Dones,,29.0
2019,Dones,,25.3
2012,,<16,29.1
2013,,<16,31.5
2014,,<16,34.1
2015,,<16,33.4
2016,,<16,35.5
2017,,<16,34.2
2018,,<16,34.5
2019,,<16,30.5
