Year,Sexe,Value
2009,,79.89
2010,,81.24
2011,,81.69
2012,,80.13
2013,,77.23
2014,,73.12
2015,,80.3
2016,,81.74
2017,,84.61
2018,,79.36
2019,,85.83
2020,,86.58
2009,Homes,77.05
2010,Homes,78.92
2011,Homes,79.12
2012,Homes,78.2
2013,Homes,73.93
2014,Homes,72.08
2015,Homes,76.62
2016,Homes,78.7
2017,Homes,82.4
2018,Homes,75.68
2019,Homes,82.99
2020,Homes,83.34
2009,Dones,82.56
2010,Dones,83.41
2011,Dones,84.0
2012,Dones,81.88
2013,Dones,80.28
2014,Dones,74.08
2015,Dones,83.95
2016,Dones,84.7
2017,Dones,86.77
2018,Dones,82.84
2019,Dones,88.59
2020,Dones,89.65
