Year,Sexe,Edat,Value
2021,,,5.1
2020,,,5.1
2019,,,5.87
2018,,,5.68
2017,,,5.48
2016,,,5.2
2015,,,4.97
2014,,,4.67
2013,,,4.33
2012,,,4.08
2011,,,3.76
2010,,,3.33
2009,,,3.23
2021,Homes,,5.97
2020,Homes,,5.7
2019,Homes,,6.77
2018,Homes,,6.47
2017,Homes,,6.04
2016,Homes,,5.46
2015,Homes,,5.09
2014,Homes,,4.75
2013,Homes,,4.23
2012,Homes,,3.9
2011,Homes,,3.56
2010,Homes,,3.09
2009,Homes,,2.92
2021,Dones,,4.48
2020,Dones,,4.6
2019,Dones,,5.25
2018,Dones,,5.13
2017,Dones,,5.06
2016,Dones,,5.0
2015,Dones,,4.87
2014,Dones,,4.61
2013,Dones,,4.42
2012,Dones,,4.26
2011,Dones,,3.95
2010,Dones,,3.59
2009,Dones,,3.55
2021,,<30,3.79
2020,,<30,3.6
2019,,<30,4.94
2018,,<30,4.56
2017,,<30,4.14
2016,,<30,3.86
2015,,<30,3.58
2014,,<30,3.29
2013,,<30,3.05
2021,,30 a 49,4.47
2020,,30 a 49,4.5
2019,,30 a 49,5.4
2018,,30 a 49,5.22
2017,,30 a 49,5.04
2016,,30 a 49,4.79
2015,,30 a 49,4.53
2014,,30 a 49,4.33
2013,,30 a 49,4.0
2021,,>=50,6.3
2020,,>=50,6.4
2019,,>=50,6.68
2018,,>=50,6.59
2017,,>=50,6.47
2016,,>=50,6.23
2015,,>=50,6.14
2014,,>=50,5.87
2013,,>=50,5.6
