Year,Sexe,Value
2019,,10.0
2018,,11.0
2017,,15.0
2016,,11.0
2015,,6.0
2014,,17.0
2013,,13.0
2012,,12.0
2011,,15.0
2010,,23.0
2009,,23.0
2019,,5580.0
2018,,5789.0
2017,,5860.0
2016,,6309.0
2015,,6291.0
2014,,6427.0
2013,,6460.0
2012,,7344.0
2011,,7596.0
2010,,7812.0
2009,,8035.0
2019,,1.79
2018,,1.9
2017,,2.56
2016,,1.74
2015,,0.95
2014,,2.65
2013,,2.01
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2019,Homes,7.0
2018,Homes,7.0
2017,Homes,11.0
2016,Homes,8.0
2015,Homes,4.0
2014,Homes,10.0
2013,Homes,4.0
2012,Homes,10.0
2011,Homes,9.0
2010,Homes,10.0
2009,Homes,13.0
2019,Homes,2870.0
2018,Homes,3021.0
2017,Homes,3040.0
2016,Homes,3231.0
2015,Homes,3206.0
2014,Homes,3335.0
2013,Homes,3301.0
2012,Homes,3804.0
2011,Homes,3866.0
2010,Homes,4011.0
2009,Homes,4250.0
2019,Homes,2.44
2018,Homes,2.32
2017,Homes,3.62
2016,Homes,2.48
2015,Homes,1.25
2014,Homes,3.0
2013,Homes,1.21
2012,Homes,2.63
2011,Homes,2.33
2010,Homes,2.49
2009,Homes,3.06
2019,Dones,3.0
2018,Dones,4.0
2017,Dones,4.0
2016,Dones,3.0
2015,Dones,2.0
2014,Dones,7.0
2013,Dones,9.0
2012,Dones,2.0
2011,Dones,6.0
2010,Dones,13.0
2009,Dones,10.0
2019,Dones,2710.0
2018,Dones,2768.0
2017,Dones,2820.0
2016,Dones,3078.0
2015,Dones,3085.0
2014,Dones,3092.0
2013,Dones,3159.0
2012,Dones,3540.0
2011,Dones,3730.0
2010,Dones,3801.0
2009,Dones,3785.0
2019,Dones,1.11
2018,Dones,1.45
2017,Dones,1.42
2016,Dones,0.97
2015,Dones,0.65
2014,Dones,2.26
2013,Dones,2.85
2012,Dones,0.56
2011,Dones,1.61
2010,Dones,3.42
2009,Dones,2.64
