Year,Sexe,Value
2021,,80.24
2020,,78.03
2019,,76.8
2018,,76.12
2017,,76.22
2016,,74.19
2015,,73.96
2014,,72.07
2013,,73.91
2012,,73.94
2011,,72.0
2010,,71.3
2009,,70.35
2021,Homes,80.76
2020,Homes,74.17
2019,Homes,72.97
2018,Homes,71.54
2017,Homes,72.3
2016,Homes,69.27
2015,Homes,69.74
2014,Homes,70.86
2013,Homes,69.04
2012,Homes,69.67
2011,Homes,66.37
2010,Homes,66.57
2009,Homes,66.29
2021,Dones,79.78
2020,Dones,81.55
2019,Dones,80.42
2018,Dones,80.41
2017,Dones,79.9
2016,Dones,78.74
2015,Dones,77.91
2014,Dones,73.32
2013,Dones,78.38
2012,Dones,77.86
2011,Dones,76.82
2010,Dones,75.34
2009,Dones,73.6
