Year,Sexe,GeoCode,Value
2009,,,227.83
2010,,,230.48
2011,,,227.84
2012,,,214.75
2013,,,223.84
2014,,,239.41
2015,,,231.1
2016,,,225.4
2017,,,225.36
2018,,,210.77
2019,,,213.72
2009,Homes,,301.07
2010,Homes,,314.62
2011,Homes,,304.55
2012,Homes,,285.9
2013,Homes,,290.44
2014,Homes,,313.06
2015,Homes,,309.63
2016,Homes,,307.21
2017,Homes,,291.07
2018,Homes,,278.99
2019,Homes,,281.05
2009,Dones,,155.29
2010,Dones,,147.49
2011,Dones,,152.48
2012,Dones,,145.06
2013,Dones,,158.85
2014,Dones,,167.63
2015,Dones,,154.51
2016,Dones,,145.8
2017,Dones,,161.59
2018,Dones,,144.8
2019,Dones,,148.82
2009,,1.0,263.72
2010,,1.0,249.71
2011,,1.0,315.95
2012,,1.0,244.32
2013,,1.0,281.5
2014,,1.0,240.19
2015,,1.0,232.82
2016,,1.0,266.5
2017,,1.0,259.41
2018,,1.0,253.73
2019,,1.0,213.79
2020,,1.0,250.39
2009,,2.0,205.61
2010,,2.0,183.05
2011,,2.0,226.78
2012,,2.0,165.6
2013,,2.0,181.75
2014,,2.0,226.81
2015,,2.0,255.7
2016,,2.0,154.11
2017,,2.0,212.81
2018,,2.0,167.21
2019,,2.0,158.67
2020,,2.0,192.29
2009,,3.0,191.42
2010,,3.0,197.32
2011,,3.0,230.82
2012,,3.0,216.82
2013,,3.0,184.51
2014,,3.0,236.59
2015,,3.0,216.64
2016,,3.0,231.03
2017,,3.0,209.89
2018,,3.0,184.81
2019,,3.0,194.74
2020,,3.0,256.93
2009,,4.0,200.12
2010,,4.0,175.3
2011,,4.0,169.01
2012,,4.0,208.46
2013,,4.0,165.91
2014,,4.0,175.27
2015,,4.0,192.9
2016,,4.0,170.78
2017,,4.0,182.38
2018,,4.0,163.9
2019,,4.0,203.43
2020,,4.0,188.65
2009,,5.0,202.54
2010,,5.0,221.09
2011,,5.0,182.89
2012,,5.0,249.54
2013,,5.0,182.83
2014,,5.0,185.34
2015,,5.0,232.4
2016,,5.0,237.75
2017,,5.0,272.57
2018,,5.0,179.81
2019,,5.0,213.43
2020,,5.0,223.59
2009,,6.0,176.73
2010,,6.0,183.21
2011,,6.0,196.56
2012,,6.0,136.76
2013,,6.0,153.87
2014,,6.0,188.18
2015,,6.0,162.7
2016,,6.0,175.02
2017,,6.0,158.17
2018,,6.0,189.94
2019,,6.0,139.25
2020,,6.0,163.15
2009,,7.0,235.49
2010,,7.0,230.79
2011,,7.0,225.62
2012,,7.0,246.09
2013,,7.0,262.12
2014,,7.0,271.9
2015,,7.0,241.91
2016,,7.0,254.02
2017,,7.0,304.87
2018,,7.0,201.59
2019,,7.0,224.97
2020,,7.0,242.82
2009,,8.0,203.05
2010,,8.0,228.57
2011,,8.0,189.93
2012,,8.0,222.57
2013,,8.0,236.29
2014,,8.0,240.01
2015,,8.0,228.57
2016,,8.0,222.84
2017,,8.0,204.61
2018,,8.0,199.12
2019,,8.0,153.57
2020,,8.0,247.57
2009,,9.0,203.79
