Year,Sexe,Edat,Value
2019,,,229.0
2018,,,293.0
2017,,,248.0
2016,,,206.0
2015,,,209.0
2014,,,215.0
2013,,,173.0
2012,,,237.0
2011,,,224.0
2010,,,216.0
2009,,,224.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,28.67
2018,,,36.76
2017,,,31.18
2016,,,26.01
2015,,,26.47
2014,,,27.31
2013,,,21.88
2012,,,29.75
2011,,,28.01
2010,,,26.82
2009,,,27.55
2019,Homes,,109.0
2018,Homes,,155.0
2017,Homes,,119.0
2016,Homes,,103.0
2015,Homes,,111.0
2014,Homes,,99.0
2013,Homes,,89.0
2012,Homes,,109.0
2011,Homes,,108.0
2010,Homes,,101.0
2009,Homes,,118.0
2021,Homes,,380275.0
2020,Homes,,381117.0
2019,Homes,,378431.0
2018,Homes,,380807.0
2017,Homes,,377718.0
2016,Homes,,378282.0
2015,Homes,,376142.0
2014,Homes,,375952.0
2013,Homes,,380127.0
2012,Homes,,383245.0
2011,Homes,,384159.0
2010,Homes,,390293.0
2009,Homes,,393358.0
2020,Homes,,380696.0
2019,Homes,,379774.0
2018,Homes,,379619.0
2017,Homes,,379262.5
2016,Homes,,378000.0
2015,Homes,,377212.0
2014,Homes,,376047.0
2013,Homes,,378039.5
2012,Homes,,381686.0
2011,Homes,,383702.0
2010,Homes,,387226.0
2009,Homes,,391825.5
2019,Homes,,28.7
2018,Homes,,40.83
2017,Homes,,31.38
2016,Homes,,27.25
2015,Homes,,29.43
2014,Homes,,26.33
2013,Homes,,23.54
2012,Homes,,28.56
2011,Homes,,28.15
2010,Homes,,26.08
2009,Homes,,30.12
2019,Dones,,120.0
2018,Dones,,138.0
2017,Dones,,129.0
2016,Dones,,103.0
2015,Dones,,98.0
2014,Dones,,116.0
2013,Dones,,84.0
2012,Dones,,128.0
2011,Dones,,116.0
2010,Dones,,115.0
2009,Dones,,106.0
2021,Dones,,419905.0
2020,Dones,,420428.0
2019,Dones,,417305.0
2018,Dones,,417731.0
2017,Dones,,414368.0
2016,Dones,,413350.0
2015,Dones,,411124.0
2014,Dones,,411349.0
2013,Dones,,414101.0
2012,Dones,,415943.0
2011,Dones,,416310.0
2010,Dones,,420151.0
2009,Dones,,422082.0
2020,Dones,,420166.5
2019,Dones,,418866.5
2018,Dones,,417518.0
2017,Dones,,416049.5
2016,Dones,,413859.0
2015,Dones,,412237.0
2014,Dones,,411236.5
2013,Dones,,412725.0
2012,Dones,,415022.0
2011,Dones,,416126.5
2010,Dones,,418230.5
2009,Dones,,421116.5
2019,Dones,,28.65
2018,Dones,,33.05
2017,Dones,,31.01
2016,Dones,,24.89
2015,Dones,,23.77
2014,Dones,,28.21
2013,Dones,,20.35
2012,Dones,,30.84
2011,Dones,,27.88
2010,Dones,,27.5
2009,Dones,,25.17
2019,,<30,0.0
2018,,<30,1.0
2017,,<30,0.0
2016,,<30,1.0
2015,,<30,0.0
2014,,<30,2.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,5.0
2009,,<30,1.0
2021,,<30,231265.0
2020,,<30,232597.0
2019,,<30,230702.0
2018,,<30,231000.0
2017,,<30,228713.0
2016,,<30,228669.0
2015,,<30,228292.0
2014,,<30,230450.0
2013,,<30,236155.0
2012,,<30,241319.0
2011,,<30,245161.0
2010,,<30,252643.0
2009,,<30,259667.0
2020,,<30,231931.0
2019,,<30,231649.5
2018,,<30,230851.0
2017,,<30,229856.5
2016,,<30,228691.0
2015,,<30,228480.5
2014,,<30,229371.0
2013,,<30,233302.5
2012,,<30,238737.0
2011,,<30,243240.0
2010,,<30,248902.0
2009,,<30,256155.0
2019,,<30,0.0
2018,,<30,0.43
2017,,<30,0.0
2016,,<30,0.44
2015,,<30,0.0
2014,,<30,0.87
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,2.01
2009,,<30,0.39
2019,,30 a 69,28.0
2018,,30 a 69,37.0
2017,,30 a 69,15.0
2016,,30 a 69,18.0
2015,,30 a 69,18.0
2014,,30 a 69,34.0
2013,,30 a 69,22.0
2012,,30 a 69,29.0
2011,,30 a 69,26.0
2010,,30 a 69,23.0
2009,,30 a 69,24.0
2021,,30 a 69,443306.0
2020,,30 a 69,444573.0
2019,,30 a 69,443420.0
2018,,30 a 69,447987.0
2017,,30 a 69,445716.0
2016,,30 a 69,447409.0
2015,,30 a 69,445680.0
2014,,30 a 69,445536.0
2013,,30 a 69,448634.0
2012,,30 a 69,449432.0
2011,,30 a 69,447498.0
2010,,30 a 69,452663.0
2009,,30 a 69,450097.0
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608.0
2013,,30 a 69,447085.0
2012,,30 a 69,449033.0
2011,,30 a 69,448465.0
2010,,30 a 69,450080.5
2009,,30 a 69,451380.0
2019,,30 a 69,6.31
2018,,30 a 69,8.3
2017,,30 a 69,3.36
2016,,30 a 69,4.03
2015,,30 a 69,4.03
2014,,30 a 69,7.63
2013,,30 a 69,4.92
2012,,30 a 69,6.46
2011,,30 a 69,5.8
2010,,30 a 69,5.11
2009,,30 a 69,5.32
2019,,>=70,201.0
2018,,>=70,255.0
2017,,>=70,233.0
2016,,>=70,187.0
2015,,>=70,191.0
2014,,>=70,179.0
2013,,>=70,151.0
2012,,>=70,208.0
2011,,>=70,198.0
2010,,>=70,188.0
2009,,>=70,199.0
2021,,>=70,125609.0
2020,,>=70,124375.0
2019,,>=70,121614.0
2018,,>=70,119551.0
2017,,>=70,117657.0
2016,,>=70,115554.0
2015,,>=70,113294.0
2014,,>=70,111315.0
2013,,>=70,109439.0
2012,,>=70,108437.0
2011,,>=70,107810.0
2010,,>=70,105138.0
2009,,>=70,105676.0
2020,,>=70,124992.0
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604.0
2016,,>=70,116605.5
2015,,>=70,114424.0
2014,,>=70,112304.5
2013,,>=70,110377.0
2012,,>=70,108938.0
2011,,>=70,108123.5
2010,,>=70,106474.0
2009,,>=70,105407.0
2019,,>=70,163.42
2018,,>=70,211.47
2017,,>=70,196.45
2016,,>=70,160.37
2015,,>=70,166.92
2014,,>=70,159.39
2013,,>=70,136.8
2012,,>=70,190.93
2011,,>=70,183.12
2010,,>=70,176.57
2009,,>=70,188.79
