Year,Sexe,GeoCode,Value
2020,,,83.09
2019,,,83.54
2018,,,83.32
2017,,,83.15
2016,,,82.96
2015,,,82.8
2014,,,82.74
2013,,,82.47
2012,,,82.14
2011,,,81.91
2010,,,81.73
2009,,,81.35
2020,Homes,,80.07
2019,Homes,,80.63
2018,Homes,,80.37
2017,Homes,,80.18
2016,Homes,,79.97
2015,Homes,,79.83
2014,Homes,,79.72
2013,Homes,,79.4
2012,Homes,,78.85
2011,Homes,,78.63
2010,Homes,,78.41
2009,Homes,,78.04
2020,Dones,,85.77
2019,Dones,,86.1
2018,Dones,,85.89
2017,Dones,,85.75
2016,Dones,,85.56
2015,Dones,,85.37
2014,Dones,,85.35
2013,Dones,,85.13
2012,Dones,,85.03
2011,Dones,,84.81
2010,Dones,,84.67
2009,Dones,,84.3
2020,,1.0,80.8
2019,,1.0,81.86
2018,,1.0,81.48
2017,,1.0,82.01
2016,,1.0,81.84
2015,,1.0,82.17
2014,,1.0,81.73
2013,,1.0,81.21
2012,,1.0,81.18
2011,,1.0,80.69
2010,,1.0,80.74
2009,,1.0,80.02
2020,,2.0,84.02
2019,,2.0,85.15
2018,,2.0,84.34
2017,,2.0,83.88
2016,,2.0,83.93
2015,,2.0,83.79
2014,,2.0,83.57
2013,,2.0,83.42
2012,,2.0,82.94
2011,,2.0,82.29
2010,,2.0,82.47
2009,,2.0,82.19
2020,,3.0,83.7
2019,,3.0,84.68
2018,,3.0,84.3
2017,,3.0,84.02
2016,,3.0,83.87
2015,,3.0,83.67
2014,,3.0,83.43
2013,,3.0,83.39
2012,,3.0,83.25
2011,,3.0,83.02
2010,,3.0,82.72
2009,,3.0,82.19
2020,,4.0,84.57
2019,,4.0,84.56
2018,,4.0,84.49
2017,,4.0,83.79
2016,,4.0,83.65
2015,,4.0,83.58
2014,,4.0,83.59
2013,,4.0,83.53
2012,,4.0,83.07
2011,,4.0,82.74
2010,,4.0,82.3
2009,,4.0,82.17
2020,,5.0,83.14
2019,,5.0,83.36
2018,,5.0,83.24
2017,,5.0,82.92
2016,,5.0,83.28
2015,,5.0,83.19
2014,,5.0,83.27
2013,,5.0,82.94
2012,,5.0,82.47
2011,,5.0,82.38
2010,,5.0,82.04
2009,,5.0,81.96
2020,,6.0,84.6
2019,,6.0,85.42
2018,,6.0,85.26
2017,,6.0,85.26
2016,,6.0,85.39
2015,,6.0,85.5
2014,,6.0,85.07
2013,,6.0,84.8
2012,,6.0,84.31
2011,,6.0,84.1
2010,,6.0,84.08
2009,,6.0,84.0
2020,,7.0,82.33
2019,,7.0,83.08
2018,,7.0,82.94
2017,,7.0,82.58
2016,,7.0,82.86
2015,,7.0,82.68
2014,,7.0,82.49
2013,,7.0,82.63
2012,,7.0,82.23
2011,,7.0,81.9
2010,,7.0,81.54
2009,,7.0,80.93
2020,,8.0,83.53
2019,,8.0,84.55
2018,,8.0,83.87
2017,,8.0,83.63
2016,,8.0,83.61
2015,,8.0,83.36
2014,,8.0,83.31
2013,,8.0,82.91
2012,,8.0,82.56
2011,,8.0,82.27
2010,,8.0,81.96
2009,,8.0,81.88
2020,,9.0,83.21
2019,,9.0,84.14
2018,,9.0,84.12
2017,,9.0,83.67
2016,,9.0,83.61
2015,,9.0,83.35
2014,,9.0,82.63
2013,,9.0,82.22
2012,,9.0,82.04
2011,,9.0,81.69
2010,,9.0,81.75
2009,,9.0,81.49
2020,,10.0,82.49
2019,,10.0,83.38
2018,,10.0,83.48
2017,,10.0,83.33
2016,,10.0,83.13
2015,,10.0,82.72
2014,,10.0,82.37
2013,,10.0,82.4
2012,,10.0,82.07
2011,,10.0,81.94
2010,,10.0,81.83
2009,,10.0,81.33
2020,,11.0,81.54
2019,,11.0,82.33
2018,,11.0,81.95
2017,,11.0,81.92
2016,,11.0,81.88
2015,,11.0,81.4
2014,,11.0,81.53
2013,,11.0,81.03
2012,,11.0,80.68
2011,,11.0,80.38
2010,,11.0,79.81
2009,,11.0,79.58
2020,,12.0,83.02
2019,,12.0,83.98
2018,,12.0,83.7
2017,,12.0,83.4
2016,,12.0,83.58
2015,,12.0,83.1
2014,,12.0,83.24
2013,,12.0,82.9
2012,,12.0,82.46
2011,,12.0,82.27
2010,,12.0,82.03
2009,,12.0,81.69
2020,,13.0,84.02
2019,,13.0,84.46
2018,,13.0,83.9
2017,,13.0,83.35
2016,,13.0,83.01
2015,,13.0,82.92
2014,,13.0,83.3
2013,,13.0,83.19
2012,,13.0,83.28
2011,,13.0,82.75
2010,,13.0,82.31
2009,,13.0,82.34
2020,,14.0,84.3
2019,,14.0,84.88
2018,,14.0,84.37
2017,,14.0,83.99
2016,,14.0,83.88
2015,,14.0,83.93
2014,,14.0,83.43
2013,,14.0,83.16
2012,,14.0,82.94
2011,,14.0,82.86
2010,,14.0,82.66
2009,,14.0,82.69
2020,,15.0,82.45
2019,,15.0,83.7
2018,,15.0,83.51
2017,,15.0,83.37
2016,,15.0,83.47
2015,,15.0,83.13
2014,,15.0,82.73
2013,,15.0,82.41
2012,,15.0,82.07
2011,,15.0,81.41
2010,,15.0,81.3
2009,,15.0,81.14
2020,,16.0,83.09
2019,,16.0,83.4
2018,,16.0,83.11
2017,,16.0,83.03
2016,,16.0,82.87
2015,,16.0,83.32
2014,,16.0,82.98
