Year,Sexe,Edat,Value
2019,,,11.0
2018,,,11.0
2017,,,23.0
2016,,,22.0
2015,,,29.0
2014,,,20.0
2013,,,25.0
2012,,,22.0
2011,,,28.0
2010,,,30.0
2009,,,34.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,1.38
2018,,,1.38
2017,,,2.89
2016,,,2.78
2015,,,3.67
2014,,,2.54
2013,,,3.16
2012,,,2.76
2011,,,3.5
2010,,,3.72
2009,,,4.18
2019,Homes,,7.0
2018,Homes,,5.0
2017,Homes,,11.0
2016,Homes,,10.0
2015,Homes,,15.0
2014,Homes,,11.0
2013,Homes,,12.0
2012,Homes,,15.0
2011,Homes,,11.0
2010,Homes,,15.0
2009,Homes,,17.0
2021,Homes,,380275.0
2020,Homes,,381117.0
2019,Homes,,378431.0
2018,Homes,,380807.0
2017,Homes,,377718.0
2016,Homes,,378282.0
2015,Homes,,376142.0
2014,Homes,,375952.0
2013,Homes,,380127.0
2012,Homes,,383245.0
2011,Homes,,384159.0
2010,Homes,,390293.0
2009,Homes,,393358.0
2020,Homes,,380696.0
2019,Homes,,379774.0
2018,Homes,,379619.0
2017,Homes,,379262.5
2016,Homes,,378000.0
2015,Homes,,377212.0
2014,Homes,,376047.0
2013,Homes,,378039.5
2012,Homes,,381686.0
2011,Homes,,383702.0
2010,Homes,,387226.0
2009,Homes,,391825.5
2019,Homes,,1.84
2018,Homes,,1.32
2017,Homes,,2.9
2016,Homes,,2.65
2015,Homes,,3.98
2014,Homes,,2.93
2013,Homes,,3.17
2012,Homes,,3.93
