Year,Sexe,Edat,GeoCode,Value
2019,,,,2101.0
2018,,,,2174.0
2017,,,,2297.0
2016,,,,2298.0
2015,,,,2172.0
2014,,,,2157.0
2013,,,,2065.0
2012,,,,2112.0
2011,,,,2267.0
2010,,,,2227.0
2009,,,,2184.0
2021,,,,800180.0
2020,,,,801545.0
2019,,,,795736.0
2018,,,,798538.0
2017,,,,792086.0
2016,,,,791632.0
2015,,,,787266.0
2014,,,,787301.0
2013,,,,794228.0
2012,,,,799188.0
2011,,,,800469.0
2010,,,,810444.0
2009,,,,815440.0
2020,,,,800862.5
2019,,,,798640.5
2018,,,,797137.0
2017,,,,795312.0
2016,,,,791859.0
2015,,,,789449.0
2014,,,,787283.5
2013,,,,790764.5
2012,,,,796708.0
2011,,,,799828.5
2010,,,,805456.5
2009,,,,812942.0
2019,,,,263.07
2018,,,,272.73
2017,,,,288.82
2016,,,,290.2
2015,,,,275.13
2014,,,,273.98
2013,,,,261.14
2012,,,,265.09
2011,,,,283.44
2010,,,,276.49
2009,,,,268.65
2019,Homes,,,938.0
2018,Homes,,,958.0
2017,Homes,,,1031.0
2016,Homes,,,1017.0
2015,Homes,,,944.0
2014,Homes,,,922.0
2013,Homes,,,835.0
2012,Homes,,,900.0
2011,Homes,,,1024.0
2010,Homes,,,967.0
2009,Homes,,,994.0
2021,Homes,,,380275.0
2020,Homes,,,381117.0
2019,Homes,,,378431.0
2018,Homes,,,380807.0
2017,Homes,,,377718.0
2016,Homes,,,378282.0
2015,Homes,,,376142.0
2014,Homes,,,375952.0
2013,Homes,,,380127.0
2012,Homes,,,383245.0
2011,Homes,,,384159.0
2010,Homes,,,390293.0
2009,Homes,,,393358.0
2020,Homes,,,380696.0
2019,Homes,,,379774.0
2018,Homes,,,379619.0
2017,Homes,,,379262.5
2016,Homes,,,378000.0
2015,Homes,,,377212.0
2014,Homes,,,376047.0
2013,Homes,,,378039.5
2012,Homes,,,381686.0
2011,Homes,,,383702.0
2010,Homes,,,387226.0
2009,Homes,,,391825.5
2019,Homes,,,246.99
2018,Homes,,,252.36
2017,Homes,,,271.84
2016,Homes,,,269.05
2015,Homes,,,250.26
2014,Homes,,,245.18
2013,Homes,,,220.88
2012,Homes,,,235.8
2011,Homes,,,266.87
2010,Homes,,,249.72
2009,Homes,,,253.68
2019,Dones,,,1163.0
2018,Dones,,,1216.0
2017,Dones,,,1266.0
2016,Dones,,,1281.0
2015,Dones,,,1228.0
2014,Dones,,,1235.0
2013,Dones,,,1230.0
2012,Dones,,,1212.0
2011,Dones,,,1243.0
2010,Dones,,,1260.0
2009,Dones,,,1190.0
2021,Dones,,,419905.0
2020,Dones,,,420428.0
2019,Dones,,,417305.0
2018,Dones,,,417731.0
2017,Dones,,,414368.0
2016,Dones,,,413350.0
2015,Dones,,,411124.0
2014,Dones,,,411349.0
2013,Dones,,,414101.0
2012,Dones,,,415943.0
2011,Dones,,,416310.0
2010,Dones,,,420151.0
2009,Dones,,,422082.0
2020,Dones,,,420166.5
2019,Dones,,,418866.5
2018,Dones,,,417518.0
2017,Dones,,,416049.5
2016,Dones,,,413859.0
2015,Dones,,,412237.0
2014,Dones,,,411236.5
2013,Dones,,,412725.0
2012,Dones,,,415022.0
2011,Dones,,,416126.5
2010,Dones,,,418230.5
2009,Dones,,,421116.5
2019,Dones,,,277.65
2018,Dones,,,291.24
2017,Dones,,,304.29
2016,Dones,,,309.53
