Year,Sexo,Edad,GeoCode,Value
2009,,,,4.31
2010,,,,4.47
2011,,,,5.25
2012,,,,2.26
2013,,,,3.29
2014,,,,2.54
2015,,,,3.04
2016,,,,2.65
2017,,,,2.89
2018,,,,3.01
2019,,,,4.63
2009,Hombres,,,7.4
2010,Hombres,,,5.94
2011,Hombres,,,7.82
2012,Hombres,,,3.41
2013,Hombres,,,4.5
2014,Hombres,,,3.72
2015,Hombres,,,4.77
2016,Hombres,,,4.5
2017,Hombres,,,3.96
2018,Hombres,,,5.01
2019,Hombres,,,7.64
2009,Mujeres,,,1.42
2010,Mujeres,,,3.11
2011,Mujeres,,,2.88
2012,Mujeres,,,1.2
2013,Mujeres,,,2.18
2014,Mujeres,,,1.46
2015,Mujeres,,,1.46
2016,Mujeres,,,0.97
2017,Mujeres,,,1.92
2018,Mujeres,,,1.2
2019,Mujeres,,,1.91
2009,,<30,,2.73
2010,,<30,,3.21
2011,,<30,,2.06
2012,,<30,,1.68
2013,,<30,,1.71
2014,,<30,,0.87
2015,,<30,,1.31
2016,,<30,,0.87
2017,,<30,,0.87
2018,,<30,,1.73
2019,,<30,,4.75
2009,,30 a 69,,3.99
2010,,30 a 69,,4.22
2011,,30 a 69,,4.91
2012,,30 a 69,,2.23
2013,,30 a 69,,2.68
2014,,30 a 69,,2.47
2015,,30 a 69,,3.14
2016,,30 a 69,,2.91
2017,,30 a 69,,2.69
2018,,30 a 69,,2.69
2019,,30 a 69,,3.6
2009,,>=70,,9.49
2010,,>=70,,8.45
2011,,>=70,,13.87
2012,,>=70,,3.67
2013,,>=70,,9.06
2014,,>=70,,6.23
2015,,>=70,,6.12
2016,,>=70,,5.15
2017,,>=70,,7.59
2018,,>=70,,6.63
2019,,>=70,,8.13
2015,,,1.0,2.29
2015,,,2.0,2.34
2015,,,3.0,3.68
2015,,,4.0,2.72
2015,,,5.0,1.68
2015,,,6.0,2.61
2015,,,7.0,2.05
2015,,,8.0,3.82
2015,,,9.0,2.67
2015,,,10.0,3.82
2015,,,11.0,3.76
2015,,,12.0,3.09
2015,,,13.0,4.22
2015,,,14.0,4.11
2015,,,15.0,4.18
2015,,,16.0,3.13
2015,,,17.0,3.08
2015,,,18.0,2.83
2015,,,19.0,1.96
