Year,Gender,Age,Value
2021,,,19.4
2020,,,21.1
2019,,,22.8
2018,,,23.8
2017,,,22.3
2016,,,20.9
2015,,,16.1
2014,,,17.0
2013,,,13.3
2012,,,19.6
2021,Men,,19.2
2020,Men,,18.6
2019,Men,,21.0
2018,Men,,22.3
2017,Men,,21.6
2016,Men,,21.8
2015,Men,,17.3
2014,Men,,17.1
2013,Men,,14.0
2012,Men,,21.2
2021,Women,,19.6
2020,Women,,23.4
2019,Women,,24.5
2018,Women,,24.9
2017,Women,,22.3
2016,Women,,19.2
2015,Women,,15.3
2014,Women,,17.4
2013,Women,,13.7
2012,Women,,19.1
2021,,<16,30.2
2020,,<16,29.6
2019,,<16,27.9
2018,,<16,30.5
2017,,<16,31.6
2016,,<16,29.9
2015,,<16,22.7
2014,,<16,19.7
2013,,<16,16.4
2012,,<16,21.3
