Year,Gender,GeoCode,Value
2021,,,2.84
2020,,,3.71
2019,,,2.06
2018,,,2.83
2017,,,3.39
2016,,,2.71
2015,,,1.38
2014,,,3.12
2013,,,2.52
2012,,,2.86
2011,,,2.9
2010,,,3.84
2009,,,3.61
2021,Men,,2.01
2020,Men,,3.49
2019,Men,,2.67
2018,Men,,4.15
2017,Men,,4.36
2016,Men,,4.39
2015,Men,,1.5
2014,Men,,3.43
2013,Men,,1.74
2012,Men,,4.21
2011,Men,,3.62
2010,Men,,3.24
2009,Men,,4.0
2021,Women,,3.77
2020,Women,,3.95
2019,Women,,1.42
2018,Women,,1.39
2017,Women,,2.35
2016,Women,,0.93
2015,Women,,1.25
2014,Women,,2.77
2013,Women,,3.34
2012,Women,,1.41
2011,Women,,2.14
2010,Women,,4.47
2009,Women,,3.17
2021,,d1,0.0
2020,,d1,11.43
2019,,d1,0.0
2018,,d1,5.26
2017,,d1,4.55
2016,,d1,4.63
2015,,d1,0.0
2014,,d1,0.0
2013,,d1,4.1
2012,,d1,4.22
2011,,d1,0.0
2010,,d1,4.26
2009,,d1,0.0
2021,,d2,3.1
2020,,d2,3.31
2019,,d2,0.0
2018,,d2,0.0
2017,,d2,0.0
2016,,d2,3.12
2015,,d2,3.06
2014,,d2,3.03
2013,,d2,2.78
2012,,d2,5.42
2011,,d2,2.46
2010,,d2,2.48
2009,,d2,2.43
2021,,d3,0.0
2020,,d3,0.0
2019,,d3,0.0
2018,,d3,2.9
2017,,d3,5.67
2016,,d3,2.68
2015,,d3,0.0
2014,,d3,2.79
2013,,d3,0.0
2012,,d3,4.82
2011,,d3,0.0
2010,,d3,2.43
2009,,d3,0.0
2021,,d4,3.48
2020,,d4,0.0
2019,,d4,0.0
2018,,d4,0.0
2017,,d4,0.0
2016,,d4,2.98
2015,,d4,0.0
2014,,d4,2.92
2013,,d4,2.56
2012,,d4,0.0
2011,,d4,2.56
2010,,d4,0.0
2009,,d4,0.0
2021,,d5,3.4
2020,,d5,2.81
2019,,d5,0.0
2018,,d5,6.13
2017,,d5,0.0
2016,,d5,2.75
2015,,d5,2.97
2014,,d5,2.9
2013,,d5,0.0
2012,,d5,2.53
2011,,d5,10.18
2010,,d5,9.59
2009,,d5,0.0
2021,,d6,11.49
2020,,d6,3.92
2019,,d6,0.0
2018,,d6,0.0
2017,,d6,0.0
2016,,d6,0.0
2015,,d6,0.0
2014,,d6,0.0
2013,,d6,0.0
2012,,d6,0.0
2011,,d6,6.12
2010,,d6,0.0
2009,,d6,0.0
2021,,d7,6.01
2020,,d7,2.87
2019,,d7,5.7
2018,,d7,2.87
2017,,d7,9.35
2016,,d7,0.0
2015,,d7,0.0
2014,,d7,0.0
2013,,d7,2.79
2012,,d7,0.0
2011,,d7,0.0
