Year,Gender,Value
2021,,93.63
2020,,86.58
2019,,85.83
2018,,79.36
2017,,84.61
2016,,81.74
2015,,80.3
2014,,73.12
2013,,77.23
2012,,80.13
2011,,81.69
2010,,81.24
2009,,79.89
2021,Men,94.19
2020,Men,83.34
2019,Men,82.99
2018,Men,75.68
2017,Men,82.4
2016,Men,78.7
2015,Men,76.62
2014,Men,72.08
2013,Men,73.93
2012,Men,78.2
2011,Men,79.12
2010,Men,78.92
2009,Men,77.05
2021,Women,93.1
2020,Women,89.65
2019,Women,88.59
2018,Women,82.84
2017,Women,86.77
2016,Women,84.7
2015,Women,83.95
2014,Women,74.08
2013,Women,80.28
2012,Women,81.88
2011,Women,84.0
2010,Women,83.41
2009,Women,82.56
