Year,Gender,Value
2010,,73.74
2011,,75.89
2012,,76.27
2013,,76.97
2014,,75.82
2015,,76.25
2016,,78.46
2017,,78.44
2018,,80.27
2019,,78.56
2020,,81.27
2021,,76.85
2010,Men,71.5
2011,Men,73.82
2012,Men,75.42
2013,Men,76.44
2014,Men,75.44
2015,Men,75.58
2016,Men,77.4
2017,Men,77.91
2018,Men,80.22
2019,Men,77.96
2020,Men,81.32
2021,Men,76.47
2010,Women,76.05
2011,Women,78.06
2012,Women,77.18
2013,Women,77.53
2014,Women,76.21
2015,Women,76.96
2016,Women,79.58
2017,Women,79.0
2018,Women,80.32
2019,Women,79.19
2020,Women,81.23
2021,Women,77.24
