Year,Gender,Age,GeoCode,Value
2022,,,,27633.17
2021,,,,39015.0
2020,,,,25625.5
2019,,,,22583.5
2018,,,,24680.67
2017,,,,27231.92
2016,,,,30377.92
2015,,,,33549.0
2014,,,,36609.25
2013,,,,37289.42
2012,,,,32639.08
2011,,,,28084.75
2010,,,,23567.42
2009,,,,13982.92
2022,Men,,,10149.33
2021,Men,,,15089.67
2020,Men,,,9506.0
2019,Men,,,8380.33
2018,Men,,,9408.17
2017,Men,,,10760.33
2016,Men,,,12406.33
2015,Men,,,14343.0
2014,Men,,,16270.92
2013,Men,,,17093.75
2012,Men,,,15133.42
2011,Men,,,12924.58
2010,Men,,,10734.33
2009,Men,,,5544.33
2022,Women,,,17483.83
2021,Women,,,23925.33
2020,Women,,,16119.5
2019,Women,,,14203.17
2018,Women,,,15272.5
2017,Women,,,16471.58
2016,Women,,,17971.58
2015,Women,,,19206.0
2014,Women,,,20338.33
2013,Women,,,20195.67
2012,Women,,,17505.67
2011,Women,,,15160.17
2010,Women,,,12833.08
2009,Women,,,8438.58
2022,,<30,,1450.0
2021,,<30,,4170.5
2020,,<30,,1599.08
2019,,<30,,1104.92
2018,,<30,,1129.5
2017,,<30,,1220.67
2016,,<30,,1488.08
2015,,<30,,1839.42
2014,,<30,,2384.0
2013,,<30,,2904.17
2012,,<30,,2788.0
2011,,<30,,2539.08
2010,,<30,,2344.75
2009,,<30,,1166.67
2022,,30 a 49,,9356.75
2021,,30 a 49,,15078.58
2020,,30 a 49,,8638.17
2019,,30 a 49,,7672.42
2018,,30 a 49,,8977.25
2017,,30 a 49,,10481.25
2016,,30 a 49,,12649.5
2015,,30 a 49,,14831.92
2014,,30 a 49,,17387.17
2013,,30 a 49,,18506.42
2012,,30 a 49,,16468.08
2011,,30 a 49,,14501.25
2010,,30 a 49,,12201.33
2009,,30 a 49,,6631.83
2022,,>=50,,16826.42
2021,,>=50,,19765.92
2020,,>=50,,15388.25
2019,,>=50,,13806.17
2018,,>=50,,14573.92
2017,,>=50,,15530.0
2016,,>=50,,16240.33
2015,,>=50,,16877.67
2014,,>=50,,16838.08
2013,,>=50,,15878.83
2012,,>=50,,13383.0
2011,,>=50,,11044.42
2010,,>=50,,9021.33
2009,,>=50,,6184.42
2022,,,d1,638.0
2021,,,d1,930.67
2020,,,d1,559.83
2019,,,d1,479.17
2018,,,d1,528.08
2022,,,d2,946.67
2021,,,d2,1390.5
2020,,,d2,877.25
2019,,,d2,799.33
2018,,,d2,894.42
2022,,,d3,1338.58
2021,,,d3,1896.0
2020,,,d3,1238.08
2019,,,d3,1061.75
2018,,,d3,1134.83
2022,,,d4,1018.75
2021,,,d4,1425.0
2020,,,d4,910.0
2019,,,d4,794.33
2018,,,d4,886.5
2022,,,d5,1627.92
2021,,,d5,2320.83
2020,,,d5,1522.42
2019,,,d5,1344.0
2018,,,d5,1483.75
2022,,,d6,569.25
2021,,,d6,834.33
2020,,,d6,560.58
2019,,,d6,474.67
2018,,,d6,512.75
2022,,,d7,1908.58
2021,,,d7,2722.33
2020,,,d7,1752.5
2019,,,d7,1571.0
2018,,,d7,1745.25
2022,,,d8,1985.58
2021,,,d8,2682.25
2020,,,d8,1812.33
2019,,,d8,1610.25
2018,,,d8,1790.17
2022,,,d9,1951.17
2021,,,d9,2763.58
2020,,,d9,1841.25
2019,,,d9,1654.17
2018,,,d9,1808.08
2022,,,d10,3030.5
2021,,,d10,4285.58
2020,,,d10,2858.75
2019,,,d10,2538.5
2018,,,d10,2786.5
2022,,,d11,2777.42
2021,,,d11,3989.25
2020,,,d11,2586.83
2019,,,d11,2166.33
2018,,,d11,2317.75
2022,,,d12,2227.33
2021,,,d12,3185.17
2020,,,d12,2095.83
2019,,,d12,1903.83
2018,,,d12,2050.33
2022,,,d13,1127.92
2021,,,d13,1570.83
2020,,,d13,1062.83
2019,,,d13,924.17
2018,,,d13,1037.42
2022,,,d14,825.42
2021,,,d14,1146.33
2020,,,d14,737.75
2019,,,d14,668.42
2018,,,d14,732.5
2022,,,d15,2194.67
2021,,,d15,3144.92
2020,,,d15,2032.5
2019,,,d15,1771.67
2018,,,d15,1932.75
2022,,,d16,1721.92
2021,,,d16,2383.33
2020,,,d16,1625.58
2019,,,d16,1454.0
2018,,,d16,1540.5
2022,,,d18,627.58
2021,,,d18,839.17
2020,,,d18,572.42
2019,,,d18,507.0
2018,,,d18,565.75
2022,,,d19,820.67
2021,,,d19,1057.08
2020,,,d19,688.0
2019,,,d19,616.42
2018,,,d19,668.33
2022,,,d171,173.83
2021,,,d171,242.67
2020,,,d171,165.08
2019,,,d171,135.25
2018,,,d171,148.25
2022,,,d172,173.83
2021,,,d172,242.67
2020,,,d172,165.08
2019,,,d172,135.25
2018,,,d172,148.25
2022,,,d173,173.83
2021,,,d173,242.67
2020,,,d173,165.08
2019,,,d173,135.25
2018,,,d173,148.25
2022,,,d174,173.83
2021,,,d174,242.67
2020,,,d174,165.08
2019,,,d174,135.25
2018,,,d174,148.25
