Year,Gender,Age,GeoCode,Value
2020,,,,27.6
2019,,,,25.67
2018,,,,24.59
2017,,,,20.24
2016,,,,16.8
2015,,,,18.87
2014,,,,18.54
2013,,,,21.75
2012,,,,19.08
2011,,,,21.13
2010,,,,19.37
2009,,,,23.86
2020,Men,,,24.69
2019,Men,,,23.17
2018,Men,,,21.86
2017,Men,,,18.19
2016,Men,,,15.87
2015,Men,,,15.91
2014,Men,,,16.75
2013,Men,,,18.52
2012,Men,,,18.34
2011,Men,,,17.72
2010,Men,,,17.56
2009,Men,,,21.69
2020,Women,,,30.23
2019,Women,,,27.93
2018,Women,,,27.06
2017,Women,,,22.11
2016,Women,,,17.64
2015,Women,,,21.59
2014,Women,,,20.18
2013,Women,,,24.71
2012,Women,,,19.76
2011,Women,,,24.27
2010,Women,,,21.04
2009,Women,,,25.88
2020,,<30,,0.0
2019,,<30,,0.0
2018,,<30,,0.0
2017,,<30,,0.0
2016,,<30,,0.0
2015,,<30,,0.0
2014,,<30,,0.0
2013,,<30,,0.0
2012,,<30,,0.0
2011,,<30,,0.0
2010,,<30,,0.0
2009,,<30,,0.39
2020,,30 a 69,,2.93
2019,,30 a 69,,2.93
2018,,30 a 69,,3.59
2017,,30 a 69,,4.25
2016,,30 a 69,,2.91
2015,,30 a 69,,3.81
2014,,30 a 69,,2.92
2013,,30 a 69,,2.68
2012,,30 a 69,,4.68
2011,,30 a 69,,4.24
2010,,30 a 69,,4.22
2009,,30 a 69,,4.43
2020,,>=70,,166.41
2019,,>=70,,156.1
2018,,>=70,,149.28
2017,,>=70,,119.73
2016,,>=70,,102.91
2015,,>=70,,115.36
2014,,>=70,,118.43
2013,,>=70,,144.96
2012,,>=70,,120.25
2011,,>=70,,138.73
2010,,>=70,,128.67
2009,,>=70,,164.13
2015,,,d1,27.42
2015,,,d2,23.39
2015,,,d3,24.97
2015,,,d4,9.79
2015,,,d5,21.03
2015,,,d6,12.41
2015,,,d7,29.94
2015,,,d8,17.7
2015,,,d9,20.59
2015,,,d10,16.91
2015,,,d11,21.17
2015,,,d12,17.62
2015,,,d13,22.16
2015,,,d14,17.12
2015,,,d15,13.32
2015,,,d16,12.06
2015,,,d18,16.99
2015,,,d19,29.46
2015,,,d171,21.54
2015,,,d172,21.54
2015,,,d173,21.54
2015,,,d174,21.54
