Year,Gender,Age,Value
2020,,,2.75
2019,,,2.38
2018,,,1.76
2017,,,1.01
2016,,,1.77
2015,,,2.15
2014,,,3.05
2013,,,1.77
2012,,,3.01
2011,,,1.75
2010,,,1.99
2009,,,2.09
2020,Men,,3.68
2019,Men,,3.16
2018,Men,,1.58
2017,Men,,1.32
2016,Men,,2.38
2015,Men,,2.92
2014,Men,,4.79
2013,Men,,2.38
2012,Men,,4.72
2011,Men,,2.35
2010,Men,,3.36
2009,Men,,3.57
2020,Women,,1.9
2019,Women,,1.67
2018,Women,,1.92
2017,Women,,0.72
2016,Women,,1.21
2015,Women,,1.46
2014,Women,,1.46
2013,Women,,1.21
2012,Women,,1.45
2011,Women,,1.2
2010,Women,,0.72
2009,Women,,0.71
2020,,<30,0.0
2019,,<30,1.3
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.87
2015,,<30,0.0
2014,,<30,0.87
2013,,<30,0.86
2012,,<30,0.42
2011,,<30,0.41
2010,,<30,0.4
2009,,<30,0.39
2020,,30 a 69,4.28
2019,,30 a 69,3.15
2018,,30 a 69,1.79
2017,,30 a 69,0.67
2016,,30 a 69,2.24
2015,,30 a 69,3.36
2014,,30 a 69,4.04
2013,,30 a 69,1.79
2012,,30 a 69,4.45
2011,,30 a 69,2.9
2010,,30 a 69,3.11
2009,,30 a 69,3.54
2020,,>=70,2.4
2019,,>=70,1.63
2018,,>=70,4.98
2017,,>=70,4.22
2016,,>=70,1.72
2015,,>=70,1.75
2014,,>=70,3.56
2013,,>=70,3.62
2012,,>=70,2.75
2011,,>=70,0.0
2010,,>=70,0.94
2009,,>=70,0.0
