Year,Gender,Age,Value
2021,,,25.4
2020,,,26.1
2019,,,24.9
2018,,,29.8
2017,,,27.7
2016,,,28.5
2015,,,26.4
2014,,,29.4
2013,,,23.9
2012,,,26.1
2021,Men,,25.4
2020,Men,,22.8
2019,Men,,23.4
2018,Men,,30.0
2017,Men,,27.5
2016,Men,,28.6
2015,Men,,28.9
2014,Men,,30.1
2013,Men,,24.8
2012,Men,,27.8
2021,Women,,25.4
2020,Women,,29.1
2019,Women,,26.2
2018,Women,,29.0
2017,Women,,27.7
2016,Women,,27.5
2015,Women,,24.0
2014,Women,,28.5
2013,Women,,23.4
2012,Women,,25.9
2021,,<16,33.4
2020,,<16,33.8
2019,,<16,28.8
2018,,<16,34.5
2017,,<16,34.2
2016,,<16,35.5
2015,,<16,33.4
2014,,<16,34.1
2013,,<16,31.5
2012,,<16,29.1
