Year,Sexe,Edat,Value
2020,,,59.31
2019,,,56.35
2018,,,58.84
2017,,,61.99
2016,,,62.76
2015,,,62.58
2014,,,60.84
2013,,,59.31
2012,,,57.74
2011,,,61.89
2010,,,57.36
2009,,,56.34
2020,Homes,,91.94
2019,Homes,,88.21
2018,Homes,,87.19
2017,Homes,,95.98
2016,Homes,,98.15
2015,Homes,,102.86
2014,Homes,,99.19
2013,Homes,,97.34
2012,Homes,,91.44
2011,Homes,,103.21
2010,Homes,,97.88
2009,Homes,,96.22
2020,Dones,,29.75
2019,Dones,,27.46
2018,Dones,,33.05
2017,Dones,,31.01
2016,Dones,,30.45
2015,Dones,,25.71
2014,Dones,,25.78
2013,Dones,,24.47
2012,Dones,,26.75
2011,Dones,,23.79
2010,Dones,,19.85
2009,Dones,,19.23
2020,,<30,0.0
2019,,<30,0.0
2018,,<30,0.43
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.0
2012,,<30,0.42
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2020,,30 a 69,49.33
2019,,30 a 69,50.45
2018,,30 a 69,48.01
2017,,30 a 69,52.81
2016,,30 a 69,58.67
2015,,30 a 69,54.87
2014,,30 a 69,55.65
2013,,30 a 69,50.1
2012,,30 a 69,50.11
2011,,30 a 69,57.75
2010,,30 a 69,49.55
2009,,30 a 69,48.3
2020,,>=70,204.81
2019,,>=70,183.75
2018,,>=70,210.64
2017,,>=70,216.69
2016,,>=70,201.53
2015,,>=70,217.61
2014,,>=70,205.69
2013,,>=70,221.97
2012,,>=70,214.8
2011,,>=70,218.27
2010,,>=70,224.47
2009,,>=70,227.69
