Year,Gender,Value
2022,,26.95
2021,,34.93
2020,,33.37
2019,,35.78
2018,,36.1
2017,,35.46
2016,,33.75
2015,,32.44
2014,,30.45
2013,,29.03
2012,,28.56
2022,Men,22.54
2021,Men,31.68
2020,Men,30.3
2019,Men,33.59
2018,Men,34.29
2017,Men,33.83
2016,Men,32.15
2015,Men,30.85
2014,Men,28.79
2013,Men,27.41
2012,Men,26.71
2022,Women,30.46
2021,Women,37.53
2020,Women,35.82
2019,Women,37.56
2018,Women,37.59
2017,Women,36.81
2016,Women,35.09
2015,Women,33.77
2014,Women,31.85
2013,Women,30.39
2012,Women,30.12
