Year,Sexo,Edad,Value
2020,,,5.1
2019,,,5.87
2018,,,5.69
2017,,,5.48
2016,,,5.2
2015,,,4.97
2014,,,4.67
2013,,,4.33
2012,,,4.08
2011,,,3.76
2010,,,3.33
2009,,,3.23
2020,Hombres,,5.74
2019,Hombres,,6.77
2018,Hombres,,6.47
2017,Hombres,,6.03
2016,Hombres,,5.46
2015,Hombres,,5.1
2014,Hombres,,4.75
2013,Hombres,,4.23
2012,Hombres,,3.9
2011,Hombres,,3.56
2010,Hombres,,3.09
2009,Hombres,,2.92
2020,Mujeres,,4.63
2019,Mujeres,,5.24
2018,Mujeres,,5.13
2017,Mujeres,,5.06
2016,Mujeres,,5.0
2015,Mujeres,,4.87
2014,Mujeres,,4.61
2013,Mujeres,,4.42
2012,Mujeres,,4.26
2011,Mujeres,,3.95
2010,Mujeres,,3.59
2009,Mujeres,,3.55
2020,,<30,7.79
2019,,<30,10.52
2018,,<30,9.75
2017,,<30,8.9
2016,,<30,8.8
2015,,<30,8.65
2020,,30 a 49,20.18
2019,,30 a 49,28.62
2018,,30 a 49,30.02
2017,,30 a 49,31.58
2016,,30 a 49,30.89
2015,,30 a 49,29.69
2020,,>=50,4.51
2019,,>=50,4.96
2018,,>=50,4.54
2017,,>=50,4.15
2016,,>=50,3.69
2015,,>=50,3.33
