Year,Sexe,Value
2021,,68.3
2020,,70.61
2019,,68.72
2018,,69.52
2017,,67.59
2016,,67.98
2015,,67.72
2014,,67.57
2013,,66.61
2012,,65.5
2011,,64.93
2010,,61.28
2009,,60.32
2021,Homes,68.06
2020,Homes,70.61
2019,Homes,68.22
2018,Homes,69.04
2017,Homes,67.28
2016,Homes,67.35
2015,Homes,67.16
2014,Homes,67.17
2013,Homes,66.29
2012,Homes,64.88
2011,Homes,62.83
2010,Homes,58.6
2009,Homes,58.24
2021,Dones,68.56
2020,Dones,70.61
2019,Dones,69.25
2018,Dones,70.03
2017,Dones,67.91
2016,Dones,68.65
2015,Dones,68.32
2014,Dones,67.99
2013,Dones,66.95
2012,Dones,66.17
2011,Dones,67.16
2010,Dones,64.14
2009,Dones,62.48
