Year,Gender,GeoCode,Value
2009,,,81.35
2010,,,81.73
2011,,,81.91
2012,,,82.14
2013,,,82.47
2014,,,82.74
2015,,,82.8
2016,,,82.96
2017,,,83.15
2018,,,83.32
2019,,,83.54
2020,,,83.09
2009,Men,,78.04
2010,Men,,78.41
2011,Men,,78.63
2012,Men,,78.85
2013,Men,,79.4
2014,Men,,79.72
2015,Men,,79.83
2016,Men,,79.97
2017,Men,,80.18
2018,Men,,80.37
2019,Men,,80.63
2020,Men,,80.07
2009,Women,,84.3
2010,Women,,84.67
2011,Women,,84.81
2012,Women,,85.03
2013,Women,,85.13
2014,Women,,85.35
2015,Women,,85.37
2016,Women,,85.56
2017,Women,,85.75
2018,Women,,85.89
2019,Women,,86.1
2020,Women,,85.77
2009,,1.0,80.02
2010,,1.0,80.74
2011,,1.0,80.69
2012,,1.0,81.18
2013,,1.0,81.21
2014,,1.0,81.73
2015,,1.0,82.17
2016,,1.0,81.84
2017,,1.0,82.01
2018,,1.0,81.48
2019,,1.0,81.86
2020,,1.0,80.8
2009,,2.0,82.19
2010,,2.0,82.47
2011,,2.0,82.29
2012,,2.0,82.94
2013,,2.0,83.42
2014,,2.0,83.57
2015,,2.0,83.79
2016,,2.0,83.93
2017,,2.0,83.88
2018,,2.0,84.34
2019,,2.0,85.15
2020,,2.0,84.02
2009,,3.0,82.19
2010,,3.0,82.72
2011,,3.0,83.02
2012,,3.0,83.25
2013,,3.0,83.39
2014,,3.0,83.43
2015,,3.0,83.67
2016,,3.0,83.87
2017,,3.0,84.02
2018,,3.0,84.3
2019,,3.0,84.68
2020,,3.0,83.7
2009,,4.0,82.17
2010,,4.0,82.3
2011,,4.0,82.74
2012,,4.0,83.07
2013,,4.0,83.53
2014,,4.0,83.59
2015,,4.0,83.58
2016,,4.0,83.65
2017,,4.0,83.79
2018,,4.0,84.49
2019,,4.0,84.56
2020,,4.0,84.57
2009,,5.0,81.96
2010,,5.0,82.04
2011,,5.0,82.38
2012,,5.0,82.47
2013,,5.0,82.94
2014,,5.0,83.27
2015,,5.0,83.19
2016,,5.0,83.28
2017,,5.0,82.92
2018,,5.0,83.24
2019,,5.0,83.36
2020,,5.0,83.14
2009,,6.0,84.0
2010,,6.0,84.08
2011,,6.0,84.1
2012,,6.0,84.31
2013,,6.0,84.8
2014,,6.0,85.07
2015,,6.0,85.5
2016,,6.0,85.39
2017,,6.0,85.26
2018,,6.0,85.26
2019,,6.0,85.42
2020,,6.0,84.6
2009,,7.0,80.93
2010,,7.0,81.54
2011,,7.0,81.9
2012,,7.0,82.23
2013,,7.0,82.63
2014,,7.0,82.49
2015,,7.0,82.68
2016,,7.0,82.86
2017,,7.0,82.58
2018,,7.0,82.94
2019,,7.0,83.08
2020,,7.0,82.33
2009,,8.0,81.88
2010,,8.0,81.96
2011,,8.0,82.27
2012,,8.0,82.56
2013,,8.0,82.91
2014,,8.0,83.31
2015,,8.0,83.36
2016,,8.0,83.61
2017,,8.0,83.63
2018,,8.0,83.87
2019,,8.0,84.55
2020,,8.0,83.53
2009,,9.0,81.49
2010,,9.0,81.75
2011,,9.0,81.69
2012,,9.0,82.04
2013,,9.0,82.22
2014,,9.0,82.63
2015,,9.0,83.35
2016,,9.0,83.61
2017,,9.0,83.67
2018,,9.0,84.12
2019,,9.0,84.14
2020,,9.0,83.21
2009,,10.0,81.33
2010,,10.0,81.83
2011,,10.0,81.94
2012,,10.0,82.07
2013,,10.0,82.4
2014,,10.0,82.37
2015,,10.0,82.72
2016,,10.0,83.13
2017,,10.0,83.33
2018,,10.0,83.48
2019,,10.0,83.38
2020,,10.0,82.49
2009,,11.0,79.58
2010,,11.0,79.81
2011,,11.0,80.38
2012,,11.0,80.68
2013,,11.0,81.03
2014,,11.0,81.53
2015,,11.0,81.4
2016,,11.0,81.88
