Year,Sexo,Value
2020,,774.0
2019,,973.0
2018,,1075.0
2017,,1040.0
2016,,982.0
2015,,792.0
2014,,822.0
2013,,852.0
2012,,966.0
2011,,1085.0
2010,,1128.0
2021,,800180.0
2020,,801545.0
2019,,795736.0
2018,,798538.0
2017,,792086.0
2016,,791632.0
2015,,787266.0
2014,,787301.0
2013,,794228.0
2012,,799188.0
2011,,800469.0
2010,,810444.0
2009,,815440.0
2020,,800862.5
2019,,798640.5
2018,,797137.0
2017,,795312.0
2016,,791859.0
2015,,789449.0
2014,,787283.5
2013,,790764.5
2012,,796708.0
2011,,799828.5
2010,,805456.5
2009,,812942.0
2020,,96.65
2019,,121.83
2018,,134.86
2017,,130.77
2016,,124.01
2015,,100.32
2014,,104.41
2013,,107.74
2012,,121.25
2011,,135.65
2010,,140.04
2020,Hombres,602.0
2019,Hombres,762.0
2018,Hombres,849.0
2017,Hombres,816.0
2016,Hombres,781.0
2015,Hombres,609.0
2014,Hombres,642.0
2013,Hombres,645.0
2012,Hombres,724.0
2011,Hombres,823.0
2010,Hombres,870.0
2021,Hombres,380275.0
2020,Hombres,381117.0
2019,Hombres,378431.0
2018,Hombres,380807.0
2017,Hombres,377718.0
2016,Hombres,378282.0
2015,Hombres,376142.0
2014,Hombres,375952.0
2013,Hombres,380127.0
2012,Hombres,383245.0
2011,Hombres,384159.0
2010,Hombres,390293.0
2009,Hombres,393358.0
2020,Hombres,380696.0
2019,Hombres,379774.0
2018,Hombres,379619.0
2017,Hombres,379262.5
2016,Hombres,378000.0
2015,Hombres,377212.0
2014,Hombres,376047.0
2013,Hombres,378039.5
2012,Hombres,381686.0
2011,Hombres,383702.0
2010,Hombres,387226.0
2009,Hombres,391825.5
2020,Hombres,158.13
2019,Hombres,200.65
2018,Hombres,223.65
2017,Hombres,215.15
2016,Hombres,206.61
2015,Hombres,161.45
2014,Hombres,170.72
2013,Hombres,170.62
2012,Hombres,189.68
2011,Hombres,214.49
2010,Hombres,224.67
2020,Mujeres,172.0
2019,Mujeres,211.0
2018,Mujeres,226.0
2017,Mujeres,224.0
2016,Mujeres,201.0
2015,Mujeres,183.0
2014,Mujeres,180.0
2013,Mujeres,207.0
2012,Mujeres,242.0
2011,Mujeres,262.0
2010,Mujeres,258.0
2021,Mujeres,419905.0
2020,Mujeres,420428.0
2019,Mujeres,417305.0
2018,Mujeres,417731.0
2017,Mujeres,414368.0
2016,Mujeres,413350.0
2015,Mujeres,411124.0
2014,Mujeres,411349.0
2013,Mujeres,414101.0
2012,Mujeres,415943.0
2011,Mujeres,416310.0
2010,Mujeres,420151.0
2009,Mujeres,422082.0
2020,Mujeres,420166.5
2019,Mujeres,418866.5
2018,Mujeres,417518.0
2017,Mujeres,416049.5
2016,Mujeres,413859.0
2015,Mujeres,412237.0
2014,Mujeres,411236.5
2013,Mujeres,412725.0
2012,Mujeres,415022.0
2011,Mujeres,416126.5
2010,Mujeres,418230.5
2009,Mujeres,421116.5
2020,Mujeres,40.94
2019,Mujeres,50.37
2018,Mujeres,54.13
2017,Mujeres,53.84
2016,Mujeres,48.57
2015,Mujeres,44.39
2014,Mujeres,43.77
2013,Mujeres,50.15
2012,Mujeres,58.31
2011,Mujeres,62.96
2010,Mujeres,61.69
