Year,Gender,Age,Value
2021,,,3239
2020,,,3196
2019,,,3130
2018,,,3175
2017,,,3302
2016,,,3371
2015,,,3458
2014,,,3575
2013,,,3537
2012,,,3311
2011,,,2781
2010,,,2336
2009,,,1977
2021,Men,,1576
2020,Men,,1521
2019,Men,,1476
2018,Men,,1496
2017,Men,,1549
2016,Men,,1555
2015,Men,,1613
2014,Men,,1714
2013,Men,,1682
2012,Men,,1562
2011,Men,,1316
2010,Men,,1096
2009,Men,,912
2021,Women,,1663
2020,Women,,1675
2019,Women,,1654
2018,Women,,1679
2017,Women,,1753
2016,Women,,1816
2015,Women,,1845
2014,Women,,1861
2013,Women,,1855
2012,Women,,1749
2011,Women,,1465
2010,Women,,1240
2009,Women,,1064
2021,,<30,412
2020,,<30,409
2019,,<30,398
2018,,<30,373
2017,,<30,349
2016,,<30,339
2015,,<30,332
2014,,<30,372
2013,,<30,400
2012,,<30,420
2011,,<30,389
2010,,<30,330
2021,,30 a 49,1201
2020,,30 a 49,1201
2019,,30 a 49,1227
2018,,30 a 49,1304
2017,,30 a 49,1421
2016,,30 a 49,1521
2015,,30 a 49,1617
2014,,30 a 49,1746
2013,,30 a 49,1767
2012,,30 a 49,1684
2011,,30 a 49,1434
2010,,30 a 49,1221
2021,,>=50,1626
2020,,>=50,1586
2019,,>=50,1506
2018,,>=50,1498
2017,,>=50,1531
2016,,>=50,1511
2015,,>=50,1510
2014,,>=50,1457
2013,,>=50,1368
2012,,>=50,1206
2011,,>=50,958
2010,,>=50,786
