Year,Sexo,Edad,Value
2009,,,16.75
2010,,,18.0
2011,,,20.25
2012,,,22.5
2013,,,24.0
2014,,,24.33
2015,,,20.39
2016,,,19.16
2017,,,17.92
2018,,,14.71
2019,,,13.13
2020,,,16.56
2021,,,16.31
2009,Hombres,,17.75
2010,Hombres,,18.0
2011,Hombres,,18.75
2012,Hombres,,24.25
2013,Hombres,,25.5
2014,Hombres,,25.53
2015,Hombres,,21.45
2016,Hombres,,19.3
2017,Hombres,,17.64
2018,Hombres,,12.65
2019,Hombres,,10.8
2020,Hombres,,15.34
2021,Hombres,,14.04
2009,Mujeres,,15.5
2010,Mujeres,,17.25
2011,Mujeres,,21.75
2012,Mujeres,,20.5
2013,Mujeres,,22.75
2014,Mujeres,,22.96
2015,Mujeres,,19.23
2016,Mujeres,,19.0
2017,Mujeres,,18.2
2018,Mujeres,,16.92
2019,Mujeres,,15.76
2020,Mujeres,,17.8
2021,Mujeres,,18.38
2015,,16 a 24,51.39
2016,,16 a 24,44.28
2017,,16 a 24,47.84
2018,,16 a 24,37.08
2019,,16 a 24,24.61
2020,,16 a 24,35.39
2021,,16 a 24,40.47
2015,,25 a 29,26.21
2016,,25 a 29,25.08
2017,,25 a 29,19.85
2018,,25 a 29,21.81
2019,,25 a 29,19.76
2020,,25 a 29,29.11
2021,,25 a 29,37.25
2015,,30 a 54,17.48
2016,,30 a 54,16.57
2017,,30 a 54,15.18
2018,,30 a 54,12.7
2019,,30 a 54,11.19
2020,,30 a 54,14.49
2021,,30 a 54,12.95
2015,,>=55,17.09
2016,,>=55,16.96
2017,,>=55,16.12
2018,,>=55,10.02
2019,,>=55,12.88
2020,,>=55,12.56
2021,,>=55,11.25
