Year,Sexo,Edad,Value
2009,,,27.55
2010,,,26.82
2011,,,28.01
2012,,,29.75
2013,,,21.88
2014,,,27.31
2015,,,26.47
2016,,,26.01
2017,,,31.18
2018,,,36.76
2019,,,28.67
2009,Hombres,,30.12
2010,Hombres,,26.08
2011,Hombres,,28.15
2012,Hombres,,28.56
2013,Hombres,,23.54
2014,Hombres,,26.33
2015,Hombres,,29.43
2016,Hombres,,27.25
2017,Hombres,,31.38
2018,Hombres,,40.83
2019,Hombres,,28.7
2009,Mujeres,,25.17
2010,Mujeres,,27.5
2011,Mujeres,,27.88
2012,Mujeres,,30.84
2013,Mujeres,,20.35
2014,Mujeres,,28.21
2015,Mujeres,,23.77
2016,Mujeres,,24.89
2017,Mujeres,,31.01
2018,Mujeres,,33.05
2019,Mujeres,,28.65
2009,,<30,0.39
2010,,<30,2.01
2011,,<30,0.0
2012,,<30,0.0
2013,,<30,0.0
2014,,<30,0.87
2015,,<30,0.0
2016,,<30,0.44
2017,,<30,0.0
2018,,<30,0.43
2019,,<30,0.0
2009,,30 a 69,5.32
2010,,30 a 69,5.11
2011,,30 a 69,5.8
2012,,30 a 69,6.46
2013,,30 a 69,4.92
2014,,30 a 69,7.63
2015,,30 a 69,4.03
2016,,30 a 69,4.03
2017,,30 a 69,3.36
2018,,30 a 69,8.3
2019,,30 a 69,6.31
2009,,>=70,188.79
2010,,>=70,176.57
2011,,>=70,183.12
2012,,>=70,190.93
2013,,>=70,136.8
2014,,>=70,159.39
2015,,>=70,166.92
2016,,>=70,160.37
2017,,>=70,196.45
2018,,>=70,211.47
2019,,>=70,163.42
