Year,Sexe,Edat,Value
2019,,,19.0
2018,,,14.0
2017,,,8.0
2016,,,14.0
2015,,,17.0
2014,,,24.0
2013,,,14.0
2012,,,24.0
2011,,,14.0
2010,,,16.0
2009,,,17.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,2.38
2018,,,1.76
2017,,,1.01
2016,,,1.77
2015,,,2.15
2014,,,3.05
2013,,,1.77
2012,,,3.01
2011,,,1.75
2010,,,1.99
2009,,,2.09
2019,Homes,,12.0
2018,Homes,,6.0
2017,Homes,,5.0
2016,Homes,,9.0
2015,Homes,,11.0
2014,Homes,,18.0
2013,Homes,,9.0
2012,Homes,,18.0
2011,Homes,,9.0
2010,Homes,,13.0
2009,Homes,,14.0
2021,Homes,,380275.0
2020,Homes,,381117.0
2019,Homes,,378431.0
2018,Homes,,380807.0
2017,Homes,,377718.0
2016,Homes,,378282.0
2015,Homes,,376142.0
2014,Homes,,375952.0
2013,Homes,,380127.0
2012,Homes,,383245.0
2011,Homes,,384159.0
2010,Homes,,390293.0
2009,Homes,,393358.0
2020,Homes,,380696.0
2019,Homes,,379774.0
2018,Homes,,379619.0
2017,Homes,,379262.5
2016,Homes,,378000.0
2015,Homes,,377212.0
2014,Homes,,376047.0
2013,Homes,,378039.5
2012,Homes,,381686.0
2011,Homes,,383702.0
2010,Homes,,387226.0
2009,Homes,,391825.5
2019,Homes,,3.16
2018,Homes,,1.58
2017,Homes,,1.32
2016,Homes,,2.38
2015,Homes,,2.92
2014,Homes,,4.79
2013,Homes,,2.38
2012,Homes,,4.72
2011,Homes,,2.35
2010,Homes,,3.36
2009,Homes,,3.57
2019,Dones,,7.0
2018,Dones,,8.0
2017,Dones,,3.0
2016,Dones,,5.0
2015,Dones,,6.0
2014,Dones,,6.0
2013,Dones,,5.0
2012,Dones,,6.0
2011,Dones,,5.0
2010,Dones,,3.0
2009,Dones,,3.0
2021,Dones,,419905.0
2020,Dones,,420428.0
2019,Dones,,417305.0
2018,Dones,,417731.0
2017,Dones,,414368.0
2016,Dones,,413350.0
2015,Dones,,411124.0
2014,Dones,,411349.0
2013,Dones,,414101.0
2012,Dones,,415943.0
2011,Dones,,416310.0
2010,Dones,,420151.0
2009,Dones,,422082.0
2020,Dones,,420166.5
2019,Dones,,418866.5
2018,Dones,,417518.0
2017,Dones,,416049.5
2016,Dones,,413859.0
2015,Dones,,412237.0
2014,Dones,,411236.5
2013,Dones,,412725.0
2012,Dones,,415022.0
2011,Dones,,416126.5
2010,Dones,,418230.5
2009,Dones,,421116.5
2019,Dones,,1.67
2018,Dones,,1.92
2017,Dones,,0.72
2016,Dones,,1.21
2015,Dones,,1.46
2014,Dones,,1.46
2013,Dones,,1.21
2012,Dones,,1.45
2011,Dones,,1.2
2010,Dones,,0.72
2009,Dones,,0.71
2019,,<30,3.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,2.0
2015,,<30,0.0
2014,,<30,2.0
2013,,<30,2.0
2012,,<30,1.0
2011,,<30,1.0
2010,,<30,1.0
2009,,<30,1.0
2021,,<30,231265.0
2020,,<30,232597.0
2019,,<30,230702.0
2018,,<30,231000.0
2017,,<30,228713.0
2016,,<30,228669.0
2015,,<30,228292.0
2014,,<30,230450.0
2013,,<30,236155.0
2012,,<30,241319.0
2011,,<30,245161.0
2010,,<30,252643.0
2009,,<30,259667.0
2020,,<30,231931.0
2019,,<30,231649.5
2018,,<30,230851.0
2017,,<30,229856.5
2016,,<30,228691.0
2015,,<30,228480.5
2014,,<30,229371.0
2013,,<30,233302.5
2012,,<30,238737.0
2011,,<30,243240.0
2010,,<30,248902.0
2009,,<30,256155.0
2019,,<30,1.3
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.87
2015,,<30,0.0
2014,,<30,0.87
2013,,<30,0.86
2012,,<30,0.42
2011,,<30,0.41
2010,,<30,0.4
2009,,<30,0.39
2019,,30 a 69,14.0
2018,,30 a 69,8.0
2017,,30 a 69,3.0
2016,,30 a 69,10.0
2015,,30 a 69,15.0
2014,,30 a 69,18.0
2013,,30 a 69,8.0
2012,,30 a 69,20.0
2011,,30 a 69,13.0
2010,,30 a 69,14.0
2009,,30 a 69,16.0
2021,,30 a 69,443306.0
2020,,30 a 69,444573.0
2019,,30 a 69,443420.0
2018,,30 a 69,447987.0
2017,,30 a 69,445716.0
2016,,30 a 69,447409.0
2015,,30 a 69,445680.0
2014,,30 a 69,445536.0
2013,,30 a 69,448634.0
2012,,30 a 69,449432.0
2011,,30 a 69,447498.0
2010,,30 a 69,452663.0
2009,,30 a 69,450097.0
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608.0
2013,,30 a 69,447085.0
2012,,30 a 69,449033.0
2011,,30 a 69,448465.0
2010,,30 a 69,450080.5
2009,,30 a 69,451380.0
2019,,30 a 69,3.15
2018,,30 a 69,1.79
2017,,30 a 69,0.67
2016,,30 a 69,2.24
2015,,30 a 69,3.36
2014,,30 a 69,4.04
2013,,30 a 69,1.79
2012,,30 a 69,4.45
2011,,30 a 69,2.9
2010,,30 a 69,3.11
2009,,30 a 69,3.54
2019,,>=70,2.0
2018,,>=70,6.0
2017,,>=70,5.0
2016,,>=70,2.0
2015,,>=70,2.0
2014,,>=70,4.0
2013,,>=70,4.0
2012,,>=70,3.0
2011,,>=70,0.0
2010,,>=70,1.0
2009,,>=70,0.0
2021,,>=70,125609.0
2020,,>=70,124375.0
2019,,>=70,121614.0
2018,,>=70,119551.0
2017,,>=70,117657.0
2016,,>=70,115554.0
2015,,>=70,113294.0
2014,,>=70,111315.0
2013,,>=70,109439.0
2012,,>=70,108437.0
2011,,>=70,107810.0
2010,,>=70,105138.0
2009,,>=70,105676.0
2020,,>=70,124992.0
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604.0
2016,,>=70,116605.5
2015,,>=70,114424.0
2014,,>=70,112304.5
2013,,>=70,110377.0
2012,,>=70,108938.0
2011,,>=70,108123.5
2010,,>=70,106474.0
2009,,>=70,105407.0
2019,,>=70,1.63
2018,,>=70,4.98
2017,,>=70,4.22
2016,,>=70,1.72
2015,,>=70,1.75
2014,,>=70,3.56
2013,,>=70,3.62
2012,,>=70,2.75
2011,,>=70,0.0
2010,,>=70,0.94
2009,,>=70,0.0
