Year,Gender,Value
2022,,13.86
2021,,14.38
2020,,14.67
2019,,14.25
2018,,14.44
2017,,14.69
2016,,15.15
2015,,15.36
2014,,15.51
2013,,15.3
2012,,14.93
2022,Men,18.46
2021,Men,19.13
2020,Men,19.57
2019,Men,18.81
2018,Men,19.13
2017,Men,19.46
2016,Men,19.97
2015,Men,20.27
2014,Men,20.58
2013,Men,20.39
2012,Men,19.78
2022,Women,9.91
2021,Women,10.26
2020,Women,10.43
2019,Women,10.22
2018,Women,10.28
2017,Women,10.42
2016,Women,10.81
2015,Women,10.92
2014,Women,10.92
2013,Women,10.68
2012,Women,10.43
