Year,Gender,Age,Value
2019,,,11.0
2018,,,11.0
2017,,,23.0
2016,,,22.0
2015,,,29.0
2014,,,20.0
2013,,,25.0
2012,,,22.0
2011,,,28.0
2010,,,30.0
2009,,,34.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,1.38
2018,,,1.38
2017,,,2.89
2016,,,2.78
2015,,,3.67
2014,,,2.54
2013,,,3.16
2012,,,2.76
2011,,,3.5
2010,,,3.72
2009,,,4.18
2019,Men,,7.0
2018,Men,,5.0
2017,Men,,11.0
2016,Men,,10.0
2015,Men,,15.0
2014,Men,,11.0
2013,Men,,12.0
2012,Men,,15.0
2011,Men,,11.0
2010,Men,,15.0
2009,Men,,17.0
2021,Men,,380275.0
2020,Men,,381117.0
2019,Men,,378431.0
2018,Men,,380807.0
2017,Men,,377718.0
2016,Men,,378282.0
2015,Men,,376142.0
2014,Men,,375952.0
2013,Men,,380127.0
2012,Men,,383245.0
2011,Men,,384159.0
2010,Men,,390293.0
2009,Men,,393358.0
2020,Men,,380696.0
2019,Men,,379774.0
2018,Men,,379619.0
2017,Men,,379262.5
2016,Men,,378000.0
2015,Men,,377212.0
2014,Men,,376047.0
2013,Men,,378039.5
2012,Men,,381686.0
2011,Men,,383702.0
2010,Men,,387226.0
2009,Men,,391825.5
2019,Men,,1.84
2018,Men,,1.32
2017,Men,,2.9
2016,Men,,2.65
2015,Men,,3.98
2014,Men,,2.93
2013,Men,,3.17
2012,Men,,3.93
2011,Men,,2.87
2010,Men,,3.87
2009,Men,,4.34
2019,Women,,4.0
