Year,Sexo,GeoCode,Value
2009,,,19.31
2010,,,31.62
2011,,,34.46
2012,,,36.89
2013,,,39.71
2014,,,40.06
2015,,,43.28
2016,,,42.22
2017,,,39.52
2018,,,43.59
2019,,,45.92
2020,,,41.45
2021,,,55.02
2009,Hombres,,13.32
2010,Hombres,,25.9
2011,Hombres,,32.91
2012,Hombres,,30.95
2013,Hombres,,32.78
2014,Hombres,,32.14
2015,Hombres,,33.69
2016,Hombres,,33.4
2017,Hombres,,30.42
2018,Hombres,,37.15
2019,Hombres,,39.02
2020,Hombres,,32.64
2021,Hombres,,51.21
2009,Mujeres,,27.44
2010,Mujeres,,38.77
2011,Mujeres,,35.92
2012,Mujeres,,44.23
2013,Mujeres,,48.43
2014,Mujeres,,49.91
2015,Mujeres,,54.95
2016,Mujeres,,51.64
2017,Mujeres,,49.17
2018,Mujeres,,48.87
2019,Mujeres,,51.27
2020,Mujeres,,49.3
2021,Mujeres,,57.91
2018,,1.0,40.6
2019,,1.0,38.14
2020,,1.0,35.5
2021,,1.0,56.61
2018,,2.0,44.25
2019,,2.0,42.03
2020,,2.0,37.71
2021,,2.0,59.49
2018,,3.0,41.67
2019,,3.0,39.8
2020,,3.0,39.48
2021,,3.0,60.0
2018,,4.0,41.89
2019,,4.0,40.03
2020,,4.0,38.28
2021,,4.0,58.13
2018,,5.0,42.77
2019,,5.0,41.42
2020,,5.0,39.76
2021,,5.0,60.85
2018,,6.0,40.13
2019,,6.0,38.22
2020,,6.0,38.22
2021,,6.0,57.4
2018,,7.0,44.45
2019,,7.0,42.09
2020,,7.0,40.4
2021,,7.0,60.77
2018,,8.0,46.0
2019,,8.0,43.48
2020,,8.0,42.0
2021,,8.0,61.25
2018,,9.0,44.68
2019,,9.0,42.83
2020,,9.0,41.13
2021,,9.0,61.88
2018,,10.0,45.92
2019,,10.0,44.56
2020,,10.0,43.48
2021,,10.0,63.14
2018,,11.0,45.33
2019,,11.0,42.61
2020,,11.0,43.86
2021,,11.0,64.53
2018,,12.0,44.78
2019,,12.0,43.93
2020,,12.0,41.05
2021,,12.0,61.41
2018,,13.0,45.04
2019,,13.0,42.2
2020,,13.0,40.57
2021,,13.0,59.7
2018,,14.0,41.47
2019,,14.0,39.36
2020,,14.0,36.4
2021,,14.0,57.09
2018,,15.0,43.67
2019,,15.0,41.58
2020,,15.0,40.93
2021,,15.0,60.87
2018,,16.0,43.86
2019,,16.0,43.16
2020,,16.0,41.96
2021,,16.0,60.1
2018,,17.0,43.71
2019,,17.0,42.4
2020,,17.0,43.4
2021,,17.0,60.5
2018,,18.0,46.67
2019,,18.0,43.56
2020,,18.0,42.38
2021,,18.0,61.56
2018,,19.0,46.11
2019,,19.0,44.43
2020,,19.0,42.12
2021,,19.0,61.09
