Year,Gender,Value
2021,,101.14
2020,,96.65
2019,,121.83
2018,,134.86
2017,,130.77
2016,,124.01
2015,,100.32
2014,,104.41
2013,,107.74
2012,,121.25
2011,,135.65
2010,,140.04
2021,Men,167.82
2020,Men,158.13
2019,Men,200.65
2018,Men,223.65
2017,Men,215.15
2016,Men,206.61
2015,Men,161.45
2014,Men,170.72
2013,Men,170.62
2012,Men,189.68
2011,Men,214.49
2010,Men,224.67
2021,Women,40.78
2020,Women,40.94
2019,Women,50.37
2018,Women,54.13
2017,Women,53.84
2016,Women,48.57
2015,Women,44.39
2014,Women,43.77
2013,Women,50.15
2012,Women,58.31
2011,Women,62.96
2010,Women,61.69
