Year,Sexe,GeoCode,Value
2020,,,1620.0
2019,,,1444.0
2018,,,1426.0
2017,,,1525.0
2016,,,1522.0
2015,,,1560.0
2014,,,1616.0
2013,,,1523.0
2012,,,1477.0
2011,,,1576.0
2010,,,1611.0
2009,,,1612.0
2021,,,674571.0
2020,,,677170.0
2019,,,674122.0
2018,,,678987.0
2017,,,674429.0
2016,,,676078.0
2015,,,673972.0
2014,,,675986.0
2013,,,684789.0
2012,,,690751.0
2011,,,692659.0
2010,,,705306.0
2009,,,709764.0
2020,,,675870.5
2019,,,675646.0
2018,,,676554.5
2017,,,676708.0
2016,,,675253.5
2015,,,675025.0
2014,,,674979.0
2013,,,680387.5
2012,,,687770.0
2011,,,691705.0
2010,,,698982.5
2009,,,707535.0
2020,,,239.69
2019,,,213.72
2018,,,210.77
2017,,,225.36
2016,,,225.4
2015,,,231.1
2014,,,239.41
2013,,,223.84
2012,,,214.75
2011,,,227.84
2010,,,230.48
2009,,,227.83
2020,Homes,,1053.0
2019,Homes,,932.0
2018,Homes,,928.0
2017,Homes,,970.0
2016,Homes,,1023.0
2015,Homes,,1032.0
2014,Homes,,1043.0
2013,Homes,,976.0
2012,Homes,,973.0
2011,Homes,,1044.0
2010,Homes,,1092.0
2009,Homes,,1060.0
2021,Homes,,330937.0
2020,Homes,,332330.0
2019,Homes,,330903.0
2018,Homes,,334355.0
2017,Homes,,332158.0
2016,Homes,,333834.0
2015,Homes,,332762.0
2014,Homes,,333561.0
2013,Homes,,338526.0
2012,Homes,,342139.0
2011,Homes,,343461.0
2010,Homes,,350705.0
2009,Homes,,353449.0
2020,Homes,,331633.5
2019,Homes,,331616.5
2018,Homes,,332629.0
2017,Homes,,333256.5
2016,Homes,,332996.0
2015,Homes,,333298.0
2014,Homes,,333161.5
2013,Homes,,336043.5
2012,Homes,,340332.5
2011,Homes,,342800.0
2010,Homes,,347083.0
2009,Homes,,352077.0
2020,Homes,,317.52
2019,Homes,,281.05
2018,Homes,,278.99
2017,Homes,,291.07
2016,Homes,,307.21
2015,Homes,,309.63
2014,Homes,,313.06
2013,Homes,,290.44
2012,Homes,,285.9
2011,Homes,,304.55
2010,Homes,,314.62
2009,Homes,,301.07
2020,Dones,,567.0
2019,Dones,,512.0
2018,Dones,,498.0
2017,Dones,,555.0
2016,Dones,,499.0
2015,Dones,,528.0
2014,Dones,,573.0
2013,Dones,,547.0
2012,Dones,,504.0
2011,Dones,,532.0
2010,Dones,,519.0
2009,Dones,,552.0
2021,Dones,,343634.0
2020,Dones,,344840.0
2019,Dones,,343219.0
2018,Dones,,344632.0
2017,Dones,,342271.0
2016,Dones,,342244.0
2015,Dones,,341210.0
2014,Dones,,342425.0
2013,Dones,,346263.0
2012,Dones,,348612.0
2011,Dones,,349198.0
2010,Dones,,354601.0
2009,Dones,,356315.0
2020,Dones,,344237.0
2019,Dones,,344029.5
2018,Dones,,343925.5
2017,Dones,,343451.5
2016,Dones,,342257.5
2015,Dones,,341727.0
2014,Dones,,341817.5
2013,Dones,,344344.0
2012,Dones,,347437.5
2011,Dones,,348905.0
2010,Dones,,351899.5
2009,Dones,,355458.0
2020,Dones,,164.71
2019,Dones,,148.82
2018,Dones,,144.8
2017,Dones,,161.59
2016,Dones,,145.8
2015,Dones,,154.51
2014,Dones,,167.63
2013,Dones,,158.85
2012,Dones,,145.06
2011,Dones,,152.48
2010,Dones,,147.49
2009,Dones,,155.29
2020,,1.0,58.0
2019,,1.0,49.0
2018,,1.0,58.0
2017,,1.0,59.0
2016,,1.0,60.0
2015,,1.0,52.0
2014,,1.0,53.0
2013,,1.0,62.0
2012,,1.0,54.0
2011,,1.0,69.0
2010,,1.0,54.0
2009,,1.0,57.0
2020,,2.0,68.0
2019,,2.0,56.0
2018,,2.0,59.0
2017,,2.0,75.0
2016,,2.0,54.0
2015,,2.0,89.0
2014,,2.0,79.0
2013,,2.0,64.0
2012,,2.0,59.0
2011,,2.0,81.0
2010,,2.0,66.0
2009,,2.0,75.0
2020,,3.0,103.0
2019,,3.0,78.0
2018,,3.0,74.0
2017,,3.0,84.0
2016,,3.0,92.0
2015,,3.0,86.0
2014,,3.0,94.0
2013,,3.0,74.0
2012,,3.0,88.0
2011,,3.0,94.0
2010,,3.0,81.0
2009,,3.0,79.0
2020,,4.0,62.0
2019,,4.0,67.0
2018,,4.0,54.0
2017,,4.0,60.0
2016,,4.0,56.0
2015,,4.0,63.0
2014,,4.0,57.0
2013,,4.0,54.0
2012,,4.0,68.0
2011,,4.0,55.0
2010,,4.0,57.0
2009,,4.0,65.0
2020,,5.0,87.0
2019,,5.0,83.0
2018,,5.0,70.0
2017,,5.0,106.0
2016,,5.0,92.0
2015,,5.0,90.0
2014,,5.0,72.0
2013,,5.0,72.0
2012,,5.0,100.0
2011,,5.0,74.0
2010,,5.0,91.0
2009,,5.0,85.0
2020,,6.0,41.0
2019,,6.0,35.0
2018,,6.0,48.0
2017,,6.0,40.0
2016,,6.0,44.0
2015,,6.0,41.0
2014,,6.0,48.0
2013,,6.0,40.0
2012,,6.0,36.0
2011,,6.0,52.0
2010,,6.0,49.0
2009,,6.0,48.0
2020,,7.0,99.0
2019,,7.0,91.0
2018,,7.0,81.0
2017,,7.0,122.0
2016,,7.0,101.0
2015,,7.0,96.0
2014,,7.0,108.0
2013,,7.0,105.0
2012,,7.0,100.0
2011,,7.0,93.0
2010,,7.0,97.0
2009,,7.0,101.0
2020,,8.0,122.0
2019,,8.0,76.0
2018,,8.0,99.0
2017,,8.0,102.0
2016,,8.0,111.0
2015,,8.0,114.0
2014,,8.0,120.0
2013,,8.0,119.0
2012,,8.0,113.0
2011,,8.0,97.0
2010,,8.0,118.0
2009,,8.0,106.0
2020,,9.0,111.0
2019,,9.0,96.0
2018,,9.0,91.0
2017,,9.0,89.0
2016,,9.0,91.0
2015,,9.0,100.0
2014,,9.0,95.0
2013,,9.0,101.0
2012,,9.0,91.0
2011,,9.0,111.0
2010,,9.0,112.0
2009,,9.0,97.0
2020,,10.0,154.0
2019,,10.0,150.0
2018,,10.0,141.0
2017,,10.0,132.0
2016,,10.0,134.0
2015,,10.0,129.0
2014,,10.0,151.0
2013,,10.0,146.0
2012,,10.0,133.0
2011,,10.0,145.0
2010,,10.0,126.0
2009,,10.0,161.0
2020,,11.0,124.0
2019,,11.0,126.0
2018,,11.0,112.0
2017,,11.0,120.0
2016,,11.0,130.0
2015,,11.0,154.0
2014,,11.0,123.0
2013,,11.0,119.0
2012,,11.0,135.0
2011,,11.0,116.0
2010,,11.0,129.0
2009,,11.0,130.0
2020,,12.0,128.0
2019,,12.0,119.0
2018,,12.0,105.0
2017,,12.0,105.0
2016,,12.0,102.0
2015,,12.0,119.0
2014,,12.0,121.0
2013,,12.0,97.0
2012,,12.0,112.0
2011,,12.0,112.0
2010,,12.0,126.0
2009,,12.0,122.0
2020,,13.0,68.0
2019,,13.0,55.0
2018,,13.0,67.0
2017,,13.0,70.0
2016,,13.0,76.0
2015,,13.0,82.0
2014,,13.0,91.0
2013,,13.0,82.0
2012,,13.0,59.0
2011,,13.0,66.0
2010,,13.0,72.0
2009,,13.0,71.0
2020,,14.0,40.0
2019,,14.0,39.0
2018,,14.0,53.0
2017,,14.0,48.0
2016,,14.0,62.0
2015,,14.0,46.0
2014,,14.0,54.0
2013,,14.0,51.0
2012,,14.0,41.0
2011,,14.0,59.0
2010,,14.0,60.0
2009,,14.0,61.0
2020,,15.0,109.0
2019,,15.0,81.0
2018,,15.0,105.0
2017,,15.0,108.0
2016,,15.0,88.0
2015,,15.0,91.0
2014,,15.0,97.0
2013,,15.0,87.0
2012,,15.0,83.0
2011,,15.0,100.0
2010,,15.0,97.0
2009,,15.0,97.0
2020,,16.0,73.0
2019,,16.0,76.0
2018,,16.0,74.0
2017,,16.0,81.0
2016,,16.0,91.0
2015,,16.0,66.0
2014,,16.0,85.0
2013,,16.0,84.0
2012,,16.0,60.0
2011,,16.0,86.0
2010,,16.0,68.0
2009,,16.0,68.0
2020,,17.0,3.0
2019,,17.0,7.0
2018,,17.0,10.0
2017,,17.0,10.0
2016,,17.0,13.0
2015,,17.0,10.0
2014,,17.0,5.0
2013,,17.0,9.0
2012,,17.0,12.0
2011,,17.0,14.0
2010,,17.0,8.0
2009,,17.0,8.0
2020,,18.0,30.0
2019,,18.0,28.0
2018,,18.0,16.0
2017,,18.0,23.0
2016,,18.0,28.0
2015,,18.0,31.0
2014,,18.0,30.0
2013,,18.0,31.0
2012,,18.0,16.0
2011,,18.0,22.0
2010,,18.0,27.0
2009,,18.0,30.0
2020,,19.0,41.0
2019,,19.0,38.0
2018,,19.0,31.0
2017,,19.0,34.0
2016,,19.0,41.0
2015,,19.0,40.0
2014,,19.0,44.0
2013,,19.0,40.0
2012,,19.0,33.0
2011,,19.0,42.0
2010,,19.0,49.0
2009,,19.0,38.0
2021,,1.0,23263.0
2020,,1.0,23065.0
2019,,1.0,22775.0
2018,,1.0,22942.0
2017,,1.0,22545.0
2016,,1.0,22483.0
2015,,1.0,22187.0
2014,,1.0,21945.0
2013,,1.0,22104.0
2012,,1.0,22101.0
2011,,1.0,21577.0
2010,,1.0,21674.0
2009,,1.0,21554.0
2021,,2.0,35376.0
2020,,2.0,35349.0
2019,,2.0,35236.0
2018,,2.0,35334.0
