Year,Gender,Value
2021,,1.6
2020,,2.48
2019,,1.72
2018,,1.83
2017,,2.42
2016,,1.66
2015,,0.92
2014,,2.52
2013,,1.93
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2021,Men,1.34
2020,Men,2.44
2019,Men,2.34
2018,Men,2.24
2017,Men,3.43
2016,Men,2.34
2015,Men,1.2
2014,Men,2.86
2013,Men,1.16
2012,Men,2.63
2011,Men,2.33
2010,Men,2.49
2009,Men,3.06
2021,Women,1.89
2020,Women,2.51
2019,Women,1.06
2018,Women,1.39
2017,Women,1.34
2016,Women,0.93
2015,Women,0.63
2014,Women,2.15
2013,Women,2.74
2012,Women,0.56
2011,Women,1.61
2010,Women,3.42
2009,Women,2.64
