Year,Sexe,Value
2020,,774.0
2019,,973.0
2018,,1075.0
2017,,1040.0
2016,,982.0
2015,,792.0
2014,,822.0
2013,,852.0
2012,,966.0
2011,,1085.0
2010,,1128.0
2021,,800180.0
2020,,801545.0
2019,,795736.0
2018,,798538.0
2017,,792086.0
2016,,791632.0
2015,,787266.0
2014,,787301.0
2013,,794228.0
2012,,799188.0
2011,,800469.0
2010,,810444.0
2009,,815440.0
2020,,800862.5
2019,,798640.5
2018,,797137.0
2017,,795312.0
2016,,791859.0
2015,,789449.0
2014,,787283.5
2013,,790764.5
2012,,796708.0
2011,,799828.5
2010,,805456.5
2009,,812942.0
2020,,96.65
2019,,121.83
2018,,134.86
2017,,130.77
2016,,124.01
2015,,100.32
2014,,104.41
2013,,107.74
2012,,121.25
2011,,135.65
2010,,140.04
2020,Homes,602.0
2019,Homes,762.0
2018,Homes,849.0
2017,Homes,816.0
2016,Homes,781.0
2015,Homes,609.0
2014,Homes,642.0
2013,Homes,645.0
2012,Homes,724.0
2011,Homes,823.0
2010,Homes,870.0
2021,Homes,380275.0
2020,Homes,381117.0
2019,Homes,378431.0
2018,Homes,380807.0
2017,Homes,377718.0
2016,Homes,378282.0
2015,Homes,376142.0
2014,Homes,375952.0
2013,Homes,380127.0
2012,Homes,383245.0
2011,Homes,384159.0
2010,Homes,390293.0
2009,Homes,393358.0
2020,Homes,380696.0
2019,Homes,379774.0
2018,Homes,379619.0
2017,Homes,379262.5
2016,Homes,378000.0
2015,Homes,377212.0
2014,Homes,376047.0
2013,Homes,378039.5
2012,Homes,381686.0
2011,Homes,383702.0
2010,Homes,387226.0
2009,Homes,391825.5
2020,Homes,158.13
2019,Homes,200.65
2018,Homes,223.65
2017,Homes,215.15
2016,Homes,206.61
2015,Homes,161.45
2014,Homes,170.72
2013,Homes,170.62
2012,Homes,189.68
2011,Homes,214.49
2010,Homes,224.67
2020,Dones,172.0
2019,Dones,211.0
2018,Dones,226.0
2017,Dones,224.0
2016,Dones,201.0
2015,Dones,183.0
2014,Dones,180.0
2013,Dones,207.0
2012,Dones,242.0
2011,Dones,262.0
2010,Dones,258.0
2021,Dones,419905.0
2020,Dones,420428.0
2019,Dones,417305.0
2018,Dones,417731.0
2017,Dones,414368.0
2016,Dones,413350.0
2015,Dones,411124.0
2014,Dones,411349.0
2013,Dones,414101.0
2012,Dones,415943.0
2011,Dones,416310.0
2010,Dones,420151.0
2009,Dones,422082.0
2020,Dones,420166.5
2019,Dones,418866.5
2018,Dones,417518.0
2017,Dones,416049.5
2016,Dones,413859.0
2015,Dones,412237.0
2014,Dones,411236.5
2013,Dones,412725.0
2012,Dones,415022.0
2011,Dones,416126.5
2010,Dones,418230.5
2009,Dones,421116.5
2020,Dones,40.94
2019,Dones,50.37
2018,Dones,54.13
2017,Dones,53.84
2016,Dones,48.57
2015,Dones,44.39
2014,Dones,43.77
2013,Dones,50.15
2012,Dones,58.31
2011,Dones,62.96
2010,Dones,61.69
