Year,Sexe,Edat,Value
2020,,,1.12
2019,,,1.63
2018,,,1.25
2017,,,1.51
2016,,,2.27
2015,,,3.55
2014,,,3.05
2013,,,3.54
2012,,,3.39
2011,,,5.13
2010,,,3.6
2009,,,4.67
2020,Homes,,1.84
2019,Homes,,2.63
2018,Homes,,1.84
2017,Homes,,2.37
2016,Homes,,3.7
2015,Homes,,6.36
2014,Homes,,4.79
2013,Homes,,6.35
2012,Homes,,5.24
2011,Homes,,8.08
2010,Homes,,5.42
2009,Homes,,5.61
2020,Dones,,0.48
2019,Dones,,0.72
2018,Dones,,0.72
2017,Dones,,0.72
2016,Dones,,0.97
2015,Dones,,0.97
2014,Dones,,1.46
2013,Dones,,0.97
2012,Dones,,1.69
2011,Dones,,2.4
2010,Dones,,1.91
2009,Dones,,3.8
2020,,<30,0.0
2019,,<30,0.43
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.44
2015,,<30,0.44
2014,,<30,0.87
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2020,,30 a 69,2.03
2019,,30 a 69,2.48
2018,,30 a 69,2.02
2017,,30 a 69,2.46
2016,,30 a 69,3.81
2015,,30 a 69,4.93
2014,,30 a 69,4.94
2013,,30 a 69,6.26
2012,,30 a 69,6.01
2011,,30 a 69,8.7
2010,,30 a 69,6.22
2009,,30 a 69,8.2
2020,,>=70,0.0
2019,,>=70,0.81
2018,,>=70,0.83
2017,,>=70,0.84
2016,,>=70,0.0
2015,,>=70,4.37
2014,,>=70,0.0
2013,,>=70,0.0
2012,,>=70,0.0
2011,,>=70,1.85
2010,,>=70,0.94
2009,,>=70,0.95
