Year,Gender,Value
2023,,74.48
2022,,72.53
2021,,69.35
2020,,65.65
2019,,69.28
2018,,67.09
2017,,67.76
2016,,66.59
2015,,66.65
2014,,65.22
2013,,64.47
2012,,65.17
2011,,64.43
2010,,64.06
2009,,61.18
2023,Men,74.81
2022,Men,72.95
2021,Men,69.57
2020,Men,65.28
2019,Men,69.18
2018,Men,66.51
2017,Men,67.68
2016,Men,66.16
2015,Men,65.7
2014,Men,64.66
2013,Men,64.11
2012,Men,64.91
2011,Men,63.73
2010,Men,61.98
2009,Men,59.13
2023,Women,74.13
2022,Women,72.07
2021,Women,69.12
2020,Women,66.04
2019,Women,69.39
2018,Women,67.71
2017,Women,67.84
2016,Women,67.05
2015,Women,67.67
2014,Women,65.81
2013,Women,64.85
2012,Women,65.46
2011,Women,65.17
2010,Women,66.29
2009,Women,63.32
