Year,Gender,Age,GeoCode,Value
2019,,,,37
2018,,,,24
2017,,,,23
2016,,,,21
2015,,,,24
2014,,,,20
2013,,,,26
2012,,,,18
2011,,,,42
2010,,,,36
2009,,,,35
2021,,,,800180
2020,,,,801545
2019,,,,795736
2018,,,,798538
2017,,,,792086
2016,,,,791632
2015,,,,787266
2014,,,,787301
2013,,,,794228
2012,,,,799188
2011,,,,800469
2010,,,,810444
2009,,,,815440
2020,,,,800862.5
2019,,,,798640.5
2018,,,,797137
2017,,,,795312
2016,,,,791859
2015,,,,789449
2014,,,,787283.5
2013,,,,790764.5
2012,,,,796708
2011,,,,799828.5
2010,,,,805456.5
2009,,,,812942
2019,,,,4.63
2018,,,,3.01
2017,,,,2.89
2016,,,,2.65
2015,,,,3.04
2014,,,,2.54
2013,,,,3.29
2012,,,,2.26
2011,,,,5.25
2010,,,,4.47
2009,,,,4.31
2019,Men,,,29
2018,Men,,,19
2017,Men,,,15
2016,Men,,,17
2015,Men,,,18
2014,Men,,,14
2013,Men,,,17
2012,Men,,,13
2011,Men,,,30
2010,Men,,,23
2009,Men,,,29
2021,Men,,,380275
2020,Men,,,381117
2019,Men,,,378431
2018,Men,,,380807
2017,Men,,,377718
2016,Men,,,378282
2015,Men,,,376142
2014,Men,,,375952
2013,Men,,,380127
2012,Men,,,383245
2011,Men,,,384159
2010,Men,,,390293
2009,Men,,,393358
2020,Men,,,380696
2019,Men,,,379774
2018,Men,,,379619
2017,Men,,,379262.5
2016,Men,,,378000
2015,Men,,,377212
2014,Men,,,376047
2013,Men,,,378039.5
2012,Men,,,381686
2011,Men,,,383702
2010,Men,,,387226
2009,Men,,,391825.5
2019,Men,,,7.64
2018,Men,,,5.01
2017,Men,,,3.96
2016,Men,,,4.5
2015,Men,,,4.77
2014,Men,,,3.72
2013,Men,,,4.5
2012,Men,,,3.41
2011,Men,,,7.82
2010,Men,,,5.94
2009,Men,,,7.4
2019,Women,,,8
2018,Women,,,5
2017,Women,,,8
2016,Women,,,4
2015,Women,,,6
2014,Women,,,6
2013,Women,,,9
2012,Women,,,5
2011,Women,,,12
2010,Women,,,13
2009,Women,,,6
2021,Women,,,419905
2020,Women,,,420428
2019,Women,,,417305
2018,Women,,,417731
2017,Women,,,414368
2016,Women,,,413350
2015,Women,,,411124
2014,Women,,,411349
2013,Women,,,414101
2012,Women,,,415943
2011,Women,,,416310
2010,Women,,,420151
2009,Women,,,422082
2020,Women,,,420166.5
2019,Women,,,418866.5
2018,Women,,,417518
2017,Women,,,416049.5
2016,Women,,,413859
2015,Women,,,412237
2014,Women,,,411236.5
2013,Women,,,412725
2012,Women,,,415022
2011,Women,,,416126.5
2010,Women,,,418230.5
2009,Women,,,421116.5
2019,Women,,,1.91
2018,Women,,,1.2
2017,Women,,,1.92
2016,Women,,,0.97
2015,Women,,,1.46
2014,Women,,,1.46
2013,Women,,,2.18
2012,Women,,,1.2
2011,Women,,,2.88
2010,Women,,,3.11
2009,Women,,,1.42
2019,,<30,,11
2018,,<30,,4
2017,,<30,,2
2016,,<30,,2
2015,,<30,,3
2014,,<30,,2
2013,,<30,,4
2012,,<30,,4
2011,,<30,,5
2010,,<30,,8
2009,,<30,,7
2021,,<30,,231265
2020,,<30,,232597
2019,,<30,,230702
2018,,<30,,231000
2017,,<30,,228713
2016,,<30,,228669
2015,,<30,,228292
2014,,<30,,230450
2013,,<30,,236155
2012,,<30,,241319
2011,,<30,,245161
2010,,<30,,252643
2009,,<30,,259667
2020,,<30,,231931
2019,,<30,,231649.5
2018,,<30,,230851
2017,,<30,,229856.5
2016,,<30,,228691
2015,,<30,,228480.5
2014,,<30,,229371
2013,,<30,,233302.5
2012,,<30,,238737
2011,,<30,,243240
2010,,<30,,248902
2009,,<30,,256155
2019,,<30,,4.75
2018,,<30,,1.73
2017,,<30,,0.87
2016,,<30,,0.87
2015,,<30,,1.31
2014,,<30,,0.87
2013,,<30,,1.71
2012,,<30,,1.68
2011,,<30,,2.06
2010,,<30,,3.21
2009,,<30,,2.73
2019,,30 a 69,,16
2018,,30 a 69,,12
2017,,30 a 69,,12
2016,,30 a 69,,13
2015,,30 a 69,,14
2014,,30 a 69,,11
2013,,30 a 69,,12
2012,,30 a 69,,10
2011,,30 a 69,,22
2010,,30 a 69,,19
2009,,30 a 69,,18
2021,,30 a 69,,443306
2020,,30 a 69,,444573
2019,,30 a 69,,443420
2018,,30 a 69,,447987
2017,,30 a 69,,445716
2016,,30 a 69,,447409
2015,,30 a 69,,445680
2014,,30 a 69,,445536
2013,,30 a 69,,448634
2012,,30 a 69,,449432
2011,,30 a 69,,447498
2010,,30 a 69,,452663
2009,,30 a 69,,450097
2020,,30 a 69,,443939.5
2019,,30 a 69,,443996.5
2018,,30 a 69,,445703.5
2017,,30 a 69,,446851.5
2016,,30 a 69,,446562.5
2015,,30 a 69,,446544.5
2014,,30 a 69,,445608
2013,,30 a 69,,447085
2012,,30 a 69,,449033
2011,,30 a 69,,448465
2010,,30 a 69,,450080.5
2009,,30 a 69,,451380
2019,,30 a 69,,3.6
2018,,30 a 69,,2.69
2017,,30 a 69,,2.69
2016,,30 a 69,,2.91
2015,,30 a 69,,3.14
2014,,30 a 69,,2.47
2013,,30 a 69,,2.68
2012,,30 a 69,,2.23
2011,,30 a 69,,4.91
2010,,30 a 69,,4.22
2009,,30 a 69,,3.99
2019,,>=70,,10
2018,,>=70,,8
2017,,>=70,,9
2016,,>=70,,6
2015,,>=70,,7
2014,,>=70,,7
2013,,>=70,,10
2012,,>=70,,4
2011,,>=70,,15
2010,,>=70,,9
2009,,>=70,,10
2021,,>=70,,125609
2020,,>=70,,124375
2019,,>=70,,121614
2018,,>=70,,119551
2017,,>=70,,117657
2016,,>=70,,115554
2015,,>=70,,113294
2014,,>=70,,111315
2013,,>=70,,109439
2012,,>=70,,108437
2011,,>=70,,107810
2010,,>=70,,105138
2009,,>=70,,105676
2020,,>=70,,124992
