Year,Gender,Value
2010,,66.44
2011,,68.47
2012,,65.57
2013,,68.19
2014,,69.88
2015,,75.32
2016,,72.25
2017,,78.84
2018,,82.9
2019,,83.09
2020,,83.59
2010,Men,67.86
2011,Men,70.18
2012,Men,70.42
2013,Men,74.81
2014,Men,79.29
2015,Men,82.06
2016,Men,83.31
2017,Men,83.84
2018,Men,89.12
2019,Men,86.92
2020,Men,84.21
2010,Women,65.1
2011,Women,66.69
2012,Women,61.03
2013,Women,63.22
2014,Women,63.56
2015,Women,70.42
2016,Women,62.65
2017,Women,72.61
2018,Women,76.82
2019,Women,79.11
2020,Women,83.03
