Year,Gender,Value
2019,,10
2018,,11
2017,,15
2016,,11
2015,,6
2014,,17
2013,,13
2012,,12
2011,,15
2010,,23
2009,,23
2019,,5580
2018,,5789
2017,,5860
2016,,6309
2015,,6291
2014,,6427
2013,,6460
2012,,7344
2011,,7596
2010,,7812
2009,,8035
2019,,1.79
2018,,1.9
2017,,2.56
2016,,1.74
2015,,0.95
2014,,2.65
2013,,2.01
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2019,Men,7
2018,Men,7
2017,Men,11
2016,Men,8
2015,Men,4
2014,Men,10
2013,Men,4
2012,Men,10
2011,Men,9
2010,Men,10
2009,Men,13
2019,Men,2870
2018,Men,3021
2017,Men,3040
2016,Men,3231
2015,Men,3206
2014,Men,3335
2013,Men,3301
2012,Men,3804
2011,Men,3866
2010,Men,4011
2009,Men,4250
2019,Men,2.44
2018,Men,2.32
2017,Men,3.62
2016,Men,2.48
2015,Men,1.25
2014,Men,3
2013,Men,1.21
2012,Men,2.63
2011,Men,2.33
2010,Men,2.49
2009,Men,3.06
2019,Women,3
2018,Women,4
2017,Women,4
2016,Women,3
2015,Women,2
2014,Women,7
2013,Women,9
2012,Women,2
2011,Women,6
2010,Women,13
2009,Women,10
2019,Women,2710
2018,Women,2768
2017,Women,2820
2016,Women,3078
2015,Women,3085
2014,Women,3092
2013,Women,3159
2012,Women,3540
2011,Women,3730
2010,Women,3801
2009,Women,3785
2019,Women,1.11
2018,Women,1.45
2017,Women,1.42
2016,Women,0.97
2015,Women,0.65
2014,Women,2.26
2013,Women,2.85
2012,Women,0.56
2011,Women,1.61
2010,Women,3.42
2009,Women,2.64
