Year,Gender,Age,Value
2009,,,1976.67
2010,,,2336
2011,,,2781
2012,,,3311.08
2013,,,3537.08
2014,,,3574.58
2015,,,3458.33
2016,,,3371.17
2017,,,3301.92
2018,,,3176.5
2019,,,3129.58
2020,,,3195.92
2021,,,3276.6
2009,Men,,912.33
2010,Men,,1095.92
2011,Men,,1316.08
2012,Men,,1562
2013,Men,,1682
2014,Men,,1713.92
2015,Men,,1613.33
2016,Men,,1554.83
2017,Men,,1548.58
2018,Men,,1497.2
2019,Men,,1475.75
2020,Men,,1520.83
2021,Men,,1596.6
2009,Women,,1064.33
2010,Women,,1240.08
2011,Women,,1464.92
2012,Women,,1749.08
2013,Women,,1855.08
2014,Women,,1860.67
2015,Women,,1845
2016,Women,,1816.33
2017,Women,,1753.33
2018,Women,,1679.3
2019,Women,,1653.83
2020,Women,,1675.08
2021,Women,,1680
2009,,<30,309.33
2010,,<30,329.75
2011,,<30,389.17
2012,,<30,420.33
2013,,<30,399.83
2014,,<30,371.67
2015,,<30,332.17
2016,,<30,339
2017,,<30,349.75
2018,,<30,372.3
2019,,<30,397.42
2020,,<30,409.75
2021,,<30,420.3
2009,,30 a 49,1032
2010,,30 a 49,1220.75
2011,,30 a 49,1434.17
2012,,30 a 49,1678.67
2013,,30 a 49,1766.83
2014,,30 a 49,1746
2015,,30 a 49,1616.42
2016,,30 a 49,1521.17
2017,,30 a 49,1421.33
2018,,30 a 49,1308.4
2019,,30 a 49,1226.33
2020,,30 a 49,1200.58
2021,,30 a 49,1216.9
2009,,>=50,635.33
2010,,>=50,785.5
2011,,>=50,957.67
2012,,>=50,1206.17
2013,,>=50,1367.5
2014,,>=50,1456.92
2015,,>=50,1509.75
2016,,>=50,1511
2017,,>=50,1530.83
2018,,>=50,1495.8
2019,,>=50,1505.83
2020,,>=50,1585.58
2021,,>=50,1639.4
