Year,Gender,Age,Value
2019,,,3
2018,,,2
2017,,,3
2016,,,4
2015,,,3
2014,,,6
2013,,,3
2012,,,5
2011,,,3
2010,,,6
2009,,,5
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,0.38
2018,,,0.25
2017,,,0.38
2016,,,0.51
2015,,,0.38
2014,,,0.76
2013,,,0.38
2012,,,0.63
2011,,,0.38
2010,,,0.74
2009,,,0.62
2019,Men,,2
2018,Men,,2
2017,Men,,2
2016,Men,,2
2015,Men,,2
2014,Men,,3
2013,Men,,2
2012,Men,,4
2011,Men,,2
2010,Men,,2
2009,Men,,4
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,0.53
2018,Men,,0.53
2017,Men,,0.53
2016,Men,,0.53
2015,Men,,0.53
2014,Men,,0.8
2013,Men,,0.53
2012,Men,,1.05
2011,Men,,0.52
2010,Men,,0.52
2009,Men,,1.02
2019,Women,,1
2018,Women,,0
2017,Women,,1
2016,Women,,2
2015,Women,,1
2014,Women,,3
2013,Women,,1
2012,Women,,1
2011,Women,,1
2010,Women,,4
2009,Women,,1
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,0.24
2018,Women,,0
2017,Women,,0.24
2016,Women,,0.48
2015,Women,,0.24
2014,Women,,0.73
2013,Women,,0.24
2012,Women,,0.24
2011,Women,,0.24
2010,Women,,0.96
2009,Women,,0.24
2019,,<30,0
2018,,<30,0
2017,,<30,0
2016,,<30,0
2015,,<30,0
2014,,<30,0
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,0
2009,,<30,0
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
2018,,<30,230851
2017,,<30,229856.5
2016,,<30,228691
2015,,<30,228480.5
2014,,<30,229371
2013,,<30,233302.5
2012,,<30,238737
2011,,<30,243240
2010,,<30,248902
2009,,<30,256155
2019,,<30,0
2018,,<30,0
2017,,<30,0
2016,,<30,0
2015,,<30,0
2014,,<30,0
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,0
2009,,<30,0
2019,,30 a 69,2
2018,,30 a 69,1
2017,,30 a 69,0
2016,,30 a 69,0
2015,,30 a 69,1
2014,,30 a 69,1
2013,,30 a 69,2
2012,,30 a 69,2
2011,,30 a 69,2
2010,,30 a 69,0
2009,,30 a 69,3
2021,,30 a 69,443306
2020,,30 a 69,444573
2019,,30 a 69,443420
2018,,30 a 69,447987
2017,,30 a 69,445716
2016,,30 a 69,447409
2015,,30 a 69,445680
2014,,30 a 69,445536
2013,,30 a 69,448634
2012,,30 a 69,449432
2011,,30 a 69,447498
2010,,30 a 69,452663
2009,,30 a 69,450097
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608
2013,,30 a 69,447085
2012,,30 a 69,449033
2011,,30 a 69,448465
2010,,30 a 69,450080.5
2009,,30 a 69,451380
2019,,30 a 69,0.45
2018,,30 a 69,0.22
2017,,30 a 69,0
2016,,30 a 69,0
2015,,30 a 69,0.22
2014,,30 a 69,0.22
2013,,30 a 69,0.45
2012,,30 a 69,0.45
2011,,30 a 69,0.45
2010,,30 a 69,0
2009,,30 a 69,0.66
2019,,>=70,1
2018,,>=70,1
2017,,>=70,3
2016,,>=70,4
2015,,>=70,2
2014,,>=70,5
2013,,>=70,1
2012,,>=70,3
2011,,>=70,1
2010,,>=70,6
2009,,>=70,2
2021,,>=70,125609
2020,,>=70,124375
2019,,>=70,121614
2018,,>=70,119551
2017,,>=70,117657
2016,,>=70,115554
2015,,>=70,113294
2014,,>=70,111315
2013,,>=70,109439
2012,,>=70,108437
2011,,>=70,107810
2010,,>=70,105138
2009,,>=70,105676
2020,,>=70,124992
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604
2016,,>=70,116605.5
2015,,>=70,114424
2014,,>=70,112304.5
2013,,>=70,110377
2012,,>=70,108938
2011,,>=70,108123.5
2010,,>=70,106474
2009,,>=70,105407
2019,,>=70,0.81
2018,,>=70,0.83
2017,,>=70,2.53
2016,,>=70,3.43
2015,,>=70,1.75
2014,,>=70,4.45
2013,,>=70,0.91
2012,,>=70,2.75
2011,,>=70,0.92
2010,,>=70,5.64
2009,,>=70,1.9
