Year,Gender,Age,Value
2020,,,0
2019,,,1
2018,,,0
2017,,,0
2016,,,0
2015,,,0
2014,,,0
2013,,,0
2012,,,1
2011,,,1
2010,,,102
2009,,,0
2020,,,11
2019,,,11
2018,,,33
2017,,,11
2016,,,10
2015,,,10
2014,,,6
2013,,,5
2012,,,11
2011,,,9
2010,,,59
2009,,,10
2020,,,21
2019,,,53
2018,,,51
2017,,,38
2016,,,33
2015,,,34
2014,,,21
2013,,,23
2012,,,18
2011,,,33
2010,,,43
2009,,,26
2020,,,63
2019,,,106
2018,,,86
2017,,,53
2016,,,56
2015,,,63
2014,,,22
2013,,,40
2012,,,27
2011,,,36
2010,,,102
2009,,,39
2020,,,51
2019,,,95
2018,,,86
2017,,,70
2016,,,56
2015,,,47
2014,,,25
2013,,,25
2012,,,32
2011,,,38
2010,,,59
2009,,,19
2020,,,14
2019,,,19
2018,,,17
2017,,,8
2016,,,10
2015,,,4
2014,,,6
2013,,,4
2012,,,10
2011,,,3
2010,,,43
2009,,,2
2020,,,160
2019,,,285
2018,,,273
2017,,,180
2016,,,165
2015,,,158
2014,,,80
2013,,,97
2012,,,99
2011,,,120
2010,,,102
2009,,,96
2020,Men,,60
2019,Men,,106
2018,Men,,76
2017,Men,,56
2016,Men,,61
2015,Men,,56
2014,Men,,34
2013,Men,,26
2012,Men,,40
2011,Men,,46
2010,Men,,59
2009,Men,,55
2020,Women,,100
2019,Women,,179
2018,Women,,197
2017,Women,,124
2016,Women,,104
2015,Women,,102
2014,Women,,46
2013,Women,,71
2012,Women,,59
2011,Women,,74
2010,Women,,43
2009,Women,,41
2020,,<30,11
2019,,<30,12
2018,,<30,33
2017,,<30,11
2016,,<30,10
2015,,<30,10
2014,,<30,6
2013,,<30,5
2012,,<30,12
2011,,<30,10
2010,,<30,161
2009,,<30,10
2020,,30 a 49,84
2019,,30 a 49,159
2018,,30 a 49,137
2017,,30 a 49,91
2016,,30 a 49,89
2015,,30 a 49,97
2014,,30 a 49,43
2013,,30 a 49,63
2012,,30 a 49,45
2011,,30 a 49,69
2010,,30 a 49,145
2009,,30 a 49,65
2020,,>=50,65
2019,,>=50,114
2018,,>=50,103
2017,,>=50,78
2016,,>=50,66
2015,,>=50,51
2014,,>=50,31
2013,,>=50,29
2012,,>=50,42
2011,,>=50,41
2010,,>=50,102
2009,,>=50,21
