Year,Gender,Age,GeoCode,Value
2019,,,,205
2018,,,,196
2017,,,,161
2016,,,,133
2015,,,,149
2014,,,,146
2013,,,,172
2012,,,,152
2011,,,,169
2010,,,,156
2009,,,,194
2021,,,,800180
2020,,,,801545
2019,,,,795736
2018,,,,798538
2017,,,,792086
2016,,,,791632
2015,,,,787266
2014,,,,787301
2013,,,,794228
2012,,,,799188
2011,,,,800469
2010,,,,810444
2009,,,,815440
2020,,,,800862.5
2019,,,,798640.5
2018,,,,797137
2017,,,,795312
2016,,,,791859
2015,,,,789449
2014,,,,787283.5
2013,,,,790764.5
2012,,,,796708
2011,,,,799828.5
2010,,,,805456.5
2009,,,,812942
2019,,,,25.67
2018,,,,24.59
2017,,,,20.24
2016,,,,16.8
2015,,,,18.87
2014,,,,18.54
2013,,,,21.75
2012,,,,19.08
2011,,,,21.13
2010,,,,19.37
2009,,,,23.86
2019,Men,,,88
2018,Men,,,83
2017,Men,,,69
2016,Men,,,60
2015,Men,,,60
2014,Men,,,63
2013,Men,,,70
2012,Men,,,70
2011,Men,,,68
2010,Men,,,68
2009,Men,,,85
2021,Men,,,380275
2020,Men,,,381117
2019,Men,,,378431
2018,Men,,,380807
2017,Men,,,377718
2016,Men,,,378282
2015,Men,,,376142
2014,Men,,,375952
2013,Men,,,380127
2012,Men,,,383245
2011,Men,,,384159
2010,Men,,,390293
2009,Men,,,393358
2020,Men,,,380696
2019,Men,,,379774
2018,Men,,,379619
2017,Men,,,379262.5
2016,Men,,,378000
2015,Men,,,377212
2014,Men,,,376047
2013,Men,,,378039.5
2012,Men,,,381686
2011,Men,,,383702
2010,Men,,,387226
2009,Men,,,391825.5
2019,Men,,,23.17
2018,Men,,,21.86
2017,Men,,,18.19
2016,Men,,,15.87
2015,Men,,,15.91
2014,Men,,,16.75
2013,Men,,,18.52
2012,Men,,,18.34
2011,Men,,,17.72
2010,Men,,,17.56
2009,Men,,,21.69
2019,Women,,,117
2018,Women,,,113
2017,Women,,,92
2016,Women,,,73
2015,Women,,,89
2014,Women,,,83
2013,Women,,,102
2012,Women,,,82
2011,Women,,,101
2010,Women,,,88
2009,Women,,,109
2021,Women,,,419905
2020,Women,,,420428
2019,Women,,,417305
2018,Women,,,417731
2017,Women,,,414368
2016,Women,,,413350
2015,Women,,,411124
2014,Women,,,411349
2013,Women,,,414101
2012,Women,,,415943
2011,Women,,,416310
2010,Women,,,420151
2009,Women,,,422082
2020,Women,,,420166.5
2019,Women,,,418866.5
2018,Women,,,417518
2017,Women,,,416049.5
2016,Women,,,413859
2015,Women,,,412237
2014,Women,,,411236.5
2013,Women,,,412725
2012,Women,,,415022
2011,Women,,,416126.5
2010,Women,,,418230.5
2009,Women,,,421116.5
2019,Women,,,27.93
2018,Women,,,27.06
2017,Women,,,22.11
2016,Women,,,17.64
2015,Women,,,21.59
2014,Women,,,20.18
2013,Women,,,24.71
2012,Women,,,19.76
2011,Women,,,24.27
2010,Women,,,21.04
2009,Women,,,25.88
2019,,<30,,0
2018,,<30,,0
2017,,<30,,0
2016,,<30,,0
2015,,<30,,0
2014,,<30,,0
2013,,<30,,0
2012,,<30,,0
2011,,<30,,0
2010,,<30,,0
2009,,<30,,1
2021,,<30,,231265
2020,,<30,,232597
2019,,<30,,230702
2018,,<30,,231000
2017,,<30,,228713
2016,,<30,,228669
2015,,<30,,228292
2014,,<30,,230450
2013,,<30,,236155
2012,,<30,,241319
2011,,<30,,245161
2010,,<30,,252643
2009,,<30,,259667
2020,,<30,,231931
2019,,<30,,231649.5
2018,,<30,,230851
2017,,<30,,229856.5
2016,,<30,,228691
2015,,<30,,228480.5
2014,,<30,,229371
2013,,<30,,233302.5
2012,,<30,,238737
2011,,<30,,243240
2010,,<30,,248902
2009,,<30,,256155
2019,,<30,,0
2018,,<30,,0
2017,,<30,,0
2016,,<30,,0
2015,,<30,,0
2014,,<30,,0
2013,,<30,,0
2012,,<30,,0
2011,,<30,,0
2010,,<30,,0
2009,,<30,,0.39
2019,,30 a 69,,13
2018,,30 a 69,,16
2017,,30 a 69,,19
2016,,30 a 69,,13
2015,,30 a 69,,17
2014,,30 a 69,,13
2013,,30 a 69,,12
2012,,30 a 69,,21
2011,,30 a 69,,19
2010,,30 a 69,,19
2009,,30 a 69,,20
2021,,30 a 69,,443306
2020,,30 a 69,,444573
2019,,30 a 69,,443420
2018,,30 a 69,,447987
2017,,30 a 69,,445716
2016,,30 a 69,,447409
2015,,30 a 69,,445680
2014,,30 a 69,,445536
2013,,30 a 69,,448634
2012,,30 a 69,,449432
2011,,30 a 69,,447498
2010,,30 a 69,,452663
2009,,30 a 69,,450097
2020,,30 a 69,,443939.5
2019,,30 a 69,,443996.5
2018,,30 a 69,,445703.5
2017,,30 a 69,,446851.5
2016,,30 a 69,,446562.5
2015,,30 a 69,,446544.5
2014,,30 a 69,,445608
2013,,30 a 69,,447085
2012,,30 a 69,,449033
2011,,30 a 69,,448465
2010,,30 a 69,,450080.5
2009,,30 a 69,,451380
2019,,30 a 69,,2.93
2018,,30 a 69,,3.59
2017,,30 a 69,,4.25
2016,,30 a 69,,2.91
2015,,30 a 69,,3.81
2014,,30 a 69,,2.92
2013,,30 a 69,,2.68
2012,,30 a 69,,4.68
2011,,30 a 69,,4.24
2010,,30 a 69,,4.22
2009,,30 a 69,,4.43
2019,,>=70,,192
2018,,>=70,,180
2017,,>=70,,142
2016,,>=70,,120
2015,,>=70,,132
2014,,>=70,,133
2013,,>=70,,160
2012,,>=70,,131
2011,,>=70,,150
2010,,>=70,,137
2009,,>=70,,173
2021,,>=70,,125609
2020,,>=70,,124375
2019,,>=70,,121614
2018,,>=70,,119551
2017,,>=70,,117657
2016,,>=70,,115554
2015,,>=70,,113294
2014,,>=70,,111315
2013,,>=70,,109439
2012,,>=70,,108437
2011,,>=70,,107810
2010,,>=70,,105138
2009,,>=70,,105676
2020,,>=70,,124992
2019,,>=70,,122994.5
2018,,>=70,,120582.5
2017,,>=70,,118604
2016,,>=70,,116605.5
2015,,>=70,,114424
2014,,>=70,,112304.5
2013,,>=70,,110377
2012,,>=70,,108938
2011,,>=70,,108123.5
2010,,>=70,,106474
