Year,Gender,GeoCode,Value
2020,,,3.71
2019,,,2.06
2018,,,2.83
2017,,,3.39
2016,,,2.71
2015,,,1.38
2014,,,3.12
2013,,,2.52
2012,,,2.86
2011,,,2.9
2010,,,3.84
2009,,,3.61
2020,Men,,3.49
2019,Men,,2.67
2018,Men,,4.15
2017,Men,,4.36
2016,Men,,4.39
2015,Men,,1.5
2014,Men,,3.43
2013,Men,,1.74
2012,Men,,4.21
2011,Men,,3.62
2010,Men,,3.24
2009,Men,,4
2020,Women,,3.95
2019,Women,,1.42
2018,Women,,1.39
2017,Women,,2.35
2016,Women,,0.93
2015,Women,,1.25
2014,Women,,2.77
2013,Women,,3.34
2012,Women,,1.41
2011,Women,,2.14
2010,Women,,4.47
2009,Women,,3.17
2021,,1,0
2020,,1,11.43
2019,,1,0
2018,,1,5.26
2017,,1,4.55
2016,,1,4.63
2015,,1,0
2014,,1,0
2013,,1,4.1
2012,,1,4.22
2011,,1,0
2010,,1,4.26
2009,,1,0
2021,,2,4
2020,,2,3.31
2019,,2,0
2018,,2,0
2017,,2,0
2016,,2,3.12
2015,,2,3.06
2014,,2,3.03
2013,,2,2.78
2012,,2,5.42
2011,,2,2.46
2010,,2,2.48
2009,,2,2.43
2021,,3,0
2020,,3,0
2019,,3,0
2018,,3,2.9
2017,,3,5.67
2016,,3,2.68
2015,,3,0
2014,,3,2.79
2013,,3,0
2012,,3,4.82
2011,,3,0
2010,,3,2.43
2009,,3,0
2021,,4,5.08
2020,,4,0
2019,,4,0
2018,,4,0
2017,,4,0
2016,,4,2.98
2015,,4,0
2014,,4,2.92
2013,,4,2.56
2012,,4,0
2011,,4,2.56
2010,,4,0
2009,,4,0
2021,,5,0
2020,,5,2.81
2019,,5,0
2018,,5,6.13
2017,,5,0
2016,,5,2.75
2015,,5,2.97
2014,,5,2.9
2013,,5,0
2012,,5,2.53
2011,,5,10.18
2010,,5,9.59
2009,,5,0
2021,,6,15.96
2020,,6,3.92
2019,,6,0
2018,,6,0
2017,,6,0
2016,,6,0
2015,,6,0
2014,,6,0
2013,,6,0
2012,,6,0
2011,,6,6.12
2010,,6,0
2009,,6,0
2021,,7,4.31
2020,,7,2.87
2019,,7,5.7
2018,,7,2.87
2017,,7,9.35
2016,,7,0
2015,,7,0
2014,,7,0
2013,,7,2.79
2012,,7,0
2011,,7,0
2010,,7,0
2009,,7,2.3
2021,,8,8.26
2020,,8,2.76
2019,,8,0
2018,,8,5.22
2017,,8,2.45
2016,,8,2.26
2015,,8,2.61
2014,,8,2.31
2013,,8,2.42
2012,,8,2.33
2011,,8,2.17
2010,,8,6.21
2009,,8,2.04
2021,,9,4.48
2020,,9,6.56
2019,,9,0
2018,,9,0
2017,,9,6.04
2016,,9,2.44
2015,,9,0
2014,,9,2.31
2013,,9,0
2012,,9,7.46
2011,,9,2.05
2010,,9,4.35
2009,,9,0
2021,,10,0
2020,,10,0
2019,,10,5.86
2018,,10,5.69
2017,,10,0
2016,,10,1.76
2015,,10,0
2014,,10,1.68
2013,,10,5.02
2012,,10,3.05
2011,,10,4.51
2010,,10,3
2009,,10,2.7
2021,,11,7.09
2020,,11,2.81
2019,,11,2.7
2018,,11,0
2017,,11,7.26
2016,,11,4.27
2015,,11,0
2014,,11,1.99
2013,,11,2.02
2012,,11,3.68
2011,,11,0
2010,,11,3.36
2009,,11,3.26
2021,,12,0
2020,,12,0
2019,,12,4.91
2018,,12,2.28
2017,,12,2.13
2016,,12,0
2015,,12,1.92
2014,,12,3.66
2013,,12,0
2012,,12,3.38
2011,,12,1.58
2010,,12,1.47
2009,,12,7.05
2021,,13,0
2020,,13,0
2019,,13,4.44
2018,,13,0
2017,,13,8.1
2016,,13,3.98
2015,,13,4.22
2014,,13,0
2013,,13,0
2012,,13,0
2011,,13,0
2010,,13,3.55
2009,,13,0
2021,,14,0
2020,,14,0
2019,,14,0
2018,,14,0
2017,,14,5.29
2016,,14,0
2015,,14,0
2014,,14,0
2013,,14,0
2012,,14,4.69
2011,,14,0
2010,,14,0
2009,,14,0
2021,,15,0
2020,,15,2.53
2019,,15,2.27
2018,,15,2.33
2017,,15,0
2016,,15,0
2015,,15,0
2014,,15,0
2013,,15,3.84
2012,,15,3.71
2011,,15,5.12
2010,,15,1.68
2009,,15,1.58
2021,,16,0
2020,,16,0
2019,,16,0
2018,,16,5.1
2017,,16,4.74
2016,,16,6.96
2015,,16,2.2
2014,,16,0
2013,,16,4.73
2012,,16,0
2011,,16,1.92
2010,,16,2.05
2009,,16,2.14
2021,,17,0
2020,,17,0
2019,,17,0
2018,,17,27.03
2017,,17,0
2016,,17,0
2015,,17,0
2014,,17,0
2013,,17,0
2012,,17,0
2011,,17,0
2010,,17,0
2009,,17,0
2021,,18,0
2020,,18,0
2019,,18,0
2018,,18,0
2017,,18,8.93
2016,,18,8.26
2015,,18,0
2014,,18,0
2013,,18,7.69
2012,,18,0
2011,,18,0
2010,,18,11.7
2009,,18,0
2021,,19,0
2020,,19,0
2019,,19,0
2018,,19,0
2017,,19,0
2016,,19,5.81
2015,,19,0
2014,,19,0
2013,,19,0
2012,,19,0
2011,,19,5.81
2010,,19,0
2009,,19,0
