Year,Gender,Age,Value
2019,,,229
2018,,,293
2017,,,248
2016,,,206
2015,,,209
2014,,,215
2013,,,173
2012,,,237
2011,,,224
2010,,,216
2009,,,224
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,28.67
2018,,,36.76
2017,,,31.18
2016,,,26.01
2015,,,26.47
2014,,,27.31
2013,,,21.88
2012,,,29.75
2011,,,28.01
2010,,,26.82
2009,,,27.55
2019,Men,,109
2018,Men,,155
2017,Men,,119
2016,Men,,103
2015,Men,,111
2014,Men,,99
2013,Men,,89
2012,Men,,109
2011,Men,,108
2010,Men,,101
2009,Men,,118
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,28.7
2018,Men,,40.83
2017,Men,,31.38
2016,Men,,27.25
2015,Men,,29.43
2014,Men,,26.33
2013,Men,,23.54
2012,Men,,28.56
2011,Men,,28.15
2010,Men,,26.08
2009,Men,,30.12
2019,Women,,120
2018,Women,,138
2017,Women,,129
2016,Women,,103
2015,Women,,98
2014,Women,,116
2013,Women,,84
2012,Women,,128
2011,Women,,116
2010,Women,,115
2009,Women,,106
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
