Year,Gender,Age,Value
2019,,,450
2018,,,469
2017,,,493
2016,,,497
2015,,,494
2014,,,479
2013,,,469
2012,,,460
2011,,,495
2010,,,462
2009,,,458
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,56.35
2018,,,58.84
2017,,,61.99
2016,,,62.76
2015,,,62.58
2014,,,60.84
2013,,,59.31
2012,,,57.74
2011,,,61.89
2010,,,57.36
2009,,,56.34
2019,Men,,335
2018,Men,,331
2017,Men,,364
2016,Men,,371
2015,Men,,388
2014,Men,,373
2013,Men,,368
2012,Men,,349
2011,Men,,396
2010,Men,,379
2009,Men,,377
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,88.21
2018,Men,,87.19
2017,Men,,95.98
2016,Men,,98.15
2015,Men,,102.86
2014,Men,,99.19
2013,Men,,97.34
2012,Men,,91.44
2011,Men,,103.21
2010,Men,,97.88
2009,Men,,96.22
2019,Women,,115
2018,Women,,138
2017,Women,,129
2016,Women,,126
2015,Women,,106
2014,Women,,106
2013,Women,,101
2012,Women,,111
2011,Women,,99
2010,Women,,83
2009,Women,,81
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,27.46
2018,Women,,33.05
2017,Women,,31.01
2016,Women,,30.45
2015,Women,,25.71
2014,Women,,25.78
2013,Women,,24.47
2012,Women,,26.75
2011,Women,,23.79
2010,Women,,19.85
2009,Women,,19.23
2019,,<30,0
2018,,<30,1
2017,,<30,0
2016,,<30,0
2015,,<30,0
2014,,<30,0
2013,,<30,0
2012,,<30,1
2011,,<30,0
2010,,<30,0
2009,,<30,0
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
