Year,Value
2019,2
2018,3
2017,1
2016,2
2015,0
2014,4
2013,2
2012,2
2011,3
2010,4
2009,1
2021,18941
2020,19208
2019,19207
2018,19152
2017,18592
2016,18204
2015,17721
2014,17495
2013,17022
2012,16947
2011,16758
2010,16762
2009,16643
2020,19074.5
2019,19207.5
2018,19179.5
2017,18872
2016,18398
2015,17962.5
2014,17608
2013,17258.5
2012,16984.5
2011,16852.5
2010,16760
2009,16702.5
2019,0.1
2018,0.16
2016,0.11
2015,0
2014,0.23
2013,0.12
2012,0.12
2011,0.18
2010,0.24
