Year,Gender,Age,GeoCode,Value
2009,,,,13982.92
2010,,,,23567.42
2011,,,,28084.75
2012,,,,32639.08
2013,,,,37289.42
2014,,,,36609.25
2015,,,,33549
2016,,,,30377.92
2017,,,,27231.92
2018,,,,24680.67
2019,,,,22583.5
2020,,,,25625.5
2021,,,,33068.42
2009,Men,,,5544.33
2010,Men,,,10734.33
2011,Men,,,12924.58
2012,Men,,,15133.42
2013,Men,,,17093.75
2014,Men,,,16270.92
2015,Men,,,14343
2016,Men,,,12406.33
2017,Men,,,10760.33
2018,Men,,,9408.17
2019,Men,,,8380.33
2020,Men,,,9506
2021,Men,,,12818.67
2009,Women,,,8438.58
2010,Women,,,12833.08
2011,Women,,,15160.17
2012,Women,,,17505.67
2013,Women,,,20195.67
2014,Women,,,20338.33
2015,Women,,,19206
2016,Women,,,17971.58
2017,Women,,,16471.58
2018,Women,,,15272.5
2019,Women,,,14203.17
2020,Women,,,16119.5
2021,Women,,,20249.75
2009,,<30,,1166.67
2010,,<30,,2344.75
2011,,<30,,2539.08
2012,,<30,,2788
2013,,<30,,2904.17
2014,,<30,,2384
2015,,<30,,1839.42
2016,,<30,,1488.08
2017,,<30,,1220.67
2018,,<30,,1129.5
2019,,<30,,1104.92
2020,,<30,,1599.08
2021,,<30,,3624.42
2009,,30 a 49,,6631.83
2010,,30 a 49,,12201.33
2011,,30 a 49,,14501.25
2012,,30 a 49,,16468.08
2013,,30 a 49,,18506.42
2014,,30 a 49,,17387.17
2015,,30 a 49,,14831.92
2016,,30 a 49,,12649.5
2017,,30 a 49,,10481.25
2018,,30 a 49,,8977.25
2019,,30 a 49,,7672.42
2020,,30 a 49,,8638.17
2021,,30 a 49,,12841.67
2009,,>=50,,6184.42
2010,,>=50,,9021.33
2011,,>=50,,11044.42
2012,,>=50,,13383
2013,,>=50,,15878.83
2014,,>=50,,16838.08
2015,,>=50,,16877.67
2016,,>=50,,16240.33
2017,,>=50,,15530
2018,,>=50,,14573.92
2019,,>=50,,13806.17
2020,,>=50,,15388.25
2021,,>=50,,16602.33
2018,,,1,528.08
2019,,,1,479.17
2020,,,1,559.83
2021,,,1,789.33
2018,,,2,894.42
2019,,,2,799.33
2020,,,2,877.25
2021,,,2,1179.92
2018,,,3,1134.83
2019,,,3,1061.75
2020,,,3,1238.08
2021,,,3,1604.58
2018,,,4,886.5
2019,,,4,794.33
2020,,,4,910
2021,,,4,1205.58
2018,,,5,1483.75
2019,,,5,1344
2020,,,5,1522.42
2021,,,5,1967.83
2018,,,6,512.75
2019,,,6,474.67
2020,,,6,560.58
2021,,,6,705.08
2018,,,7,1745.25
2019,,,7,1571
2020,,,7,1752.5
2021,,,7,2310.83
2018,,,8,1790.17
2019,,,8,1610.25
2020,,,8,1812.33
2021,,,8,2269.42
2018,,,9,1808.08
2019,,,9,1654.17
2020,,,9,1841.25
2021,,,9,2345.58
2018,,,10,2786.5
2019,,,10,2538.5
2020,,,10,2858.75
2021,,,10,3633.92
2018,,,11,2317.75
2019,,,11,2166.33
2020,,,11,2586.83
2021,,,11,3379.08
2018,,,12,2050.33
2019,,,12,1903.83
2020,,,12,2095.83
2021,,,12,2698.33
2018,,,13,1037.42
2019,,,13,924.17
2020,,,13,1062.83
2021,,,13,1335.33
2018,,,14,732.5
2019,,,14,668.42
2020,,,14,737.75
2021,,,14,975.83
2018,,,15,1932.75
2019,,,15,1771.67
2020,,,15,2032.5
2021,,,15,2666.83
2018,,,16,1540.5
2019,,,16,1454
2020,,,16,1625.58
2021,,,16,2021
2018,,,17,148.25
2019,,,17,135.25
2020,,,17,165.08
2021,,,17,207
2018,,,18,565.75
2019,,,18,507
2020,,,18,572.42
2021,,,18,708.83
2018,,,19,668.33
2019,,,19,616.42
2020,,,19,688
2021,,,19,890.75
