Year,Gender,Age,GeoCode,Value
2019,,,,67
2018,,,,63
2017,,,,44
2016,,,,47
2015,,,,55
2014,,,,55
2013,,,,50
2012,,,,57
2011,,,,46
2010,,,,70
2009,,,,50
2021,,,,800180
2020,,,,801545
2019,,,,795736
2018,,,,798538
2017,,,,792086
2016,,,,791632
2015,,,,787266
2014,,,,787301
2013,,,,794228
2012,,,,799188
2011,,,,800469
2010,,,,810444
2009,,,,815440
2020,,,,800862.5
2019,,,,798640.5
2018,,,,797137
2017,,,,795312
2016,,,,791859
2015,,,,789449
2014,,,,787283.5
2013,,,,790764.5
2012,,,,796708
2011,,,,799828.5
2010,,,,805456.5
2009,,,,812942
2019,,,,8.39
2018,,,,7.9
2017,,,,5.53
2016,,,,5.94
2015,,,,6.97
2014,,,,6.99
2013,,,,6.32
2012,,,,7.15
2011,,,,5.75
2010,,,,8.69
2009,,,,6.15
2019,Men,,,40
2018,Men,,,43
2017,Men,,,28
2016,Men,,,31
2015,Men,,,37
2014,Men,,,38
2013,Men,,,33
2012,Men,,,36
2011,Men,,,28
2010,Men,,,51
2009,Men,,,35
2021,Men,,,380275
2020,Men,,,381117
2019,Men,,,378431
2018,Men,,,380807
2017,Men,,,377718
2016,Men,,,378282
2015,Men,,,376142
2014,Men,,,375952
2013,Men,,,380127
2012,Men,,,383245
2011,Men,,,384159
2010,Men,,,390293
2009,Men,,,393358
2020,Men,,,380696
2019,Men,,,379774
2018,Men,,,379619
2017,Men,,,379262.5
2016,Men,,,378000
2015,Men,,,377212
2014,Men,,,376047
2013,Men,,,378039.5
2012,Men,,,381686
2011,Men,,,383702
2010,Men,,,387226
2009,Men,,,391825.5
2019,Men,,,10.53
2018,Men,,,11.33
2017,Men,,,7.38
2016,Men,,,8.2
2015,Men,,,9.81
2014,Men,,,10.11
2013,Men,,,8.73
2012,Men,,,9.43
2011,Men,,,7.3
2010,Men,,,13.17
2009,Men,,,8.93
2019,Women,,,27
2018,Women,,,20
2017,Women,,,16
2016,Women,,,16
2015,Women,,,18
2014,Women,,,17
2013,Women,,,17
2012,Women,,,21
2011,Women,,,18
2010,Women,,,19
2009,Women,,,15
2021,Women,,,419905
2020,Women,,,420428
2019,Women,,,417305
2018,Women,,,417731
2017,Women,,,414368
2016,Women,,,413350
2015,Women,,,411124
2014,Women,,,411349
2013,Women,,,414101
2012,Women,,,415943
2011,Women,,,416310
2010,Women,,,420151
2009,Women,,,422082
2020,Women,,,420166.5
2019,Women,,,418866.5
2018,Women,,,417518
2017,Women,,,416049.5
2016,Women,,,413859
2015,Women,,,412237
2014,Women,,,411236.5
2013,Women,,,412725
2012,Women,,,415022
2011,Women,,,416126.5
2010,Women,,,418230.5
2009,Women,,,421116.5
2019,Women,,,6.45
2018,Women,,,4.79
2017,Women,,,3.85
2016,Women,,,3.87
2015,Women,,,4.37
2014,Women,,,4.13
2013,Women,,,4.12
2012,Women,,,5.06
2011,Women,,,4.33
2010,Women,,,4.54
2009,Women,,,3.56
2019,,<30,,9
2018,,<30,,3
2017,,<30,,6
2016,,<30,,3
2015,,<30,,4
2014,,<30,,4
2013,,<30,,4
2012,,<30,,6
2011,,<30,,2
2010,,<30,,9
2009,,<30,,4
2021,,<30,,231265
2020,,<30,,232597
2019,,<30,,230702
2018,,<30,,231000
2017,,<30,,228713
2016,,<30,,228669
2015,,<30,,228292
2014,,<30,,230450
2013,,<30,,236155
2012,,<30,,241319
2011,,<30,,245161
2010,,<30,,252643
2009,,<30,,259667
2020,,<30,,231931
2019,,<30,,231649.5
2018,,<30,,230851
2017,,<30,,229856.5
2016,,<30,,228691
2015,,<30,,228480.5
2014,,<30,,229371
2013,,<30,,233302.5
2012,,<30,,238737
2011,,<30,,243240
2010,,<30,,248902
2009,,<30,,256155
2019,,<30,,3.89
2018,,<30,,1.3
2017,,<30,,2.61
2016,,<30,,1.31
2015,,<30,,1.75
2014,,<30,,1.74
2013,,<30,,1.71
2012,,<30,,2.51
2011,,<30,,0.82
2010,,<30,,3.62
2009,,<30,,1.56
2019,,30 a 69,,42
2018,,30 a 69,,46
2017,,30 a 69,,29
2016,,30 a 69,,34
2015,,30 a 69,,43
2014,,30 a 69,,40
2013,,30 a 69,,39
2012,,30 a 69,,37
2011,,30 a 69,,37
2010,,30 a 69,,54
2009,,30 a 69,,35
2021,,30 a 69,,443306
2020,,30 a 69,,444573
2019,,30 a 69,,443420
2018,,30 a 69,,447987
2017,,30 a 69,,445716
2016,,30 a 69,,447409
2015,,30 a 69,,445680
2014,,30 a 69,,445536
2013,,30 a 69,,448634
2012,,30 a 69,,449432
2011,,30 a 69,,447498
2010,,30 a 69,,452663
2009,,30 a 69,,450097
2020,,30 a 69,,443939.5
2019,,30 a 69,,443996.5
2018,,30 a 69,,445703.5
2017,,30 a 69,,446851.5
2016,,30 a 69,,446562.5
2015,,30 a 69,,446544.5
2014,,30 a 69,,445608
2013,,30 a 69,,447085
2012,,30 a 69,,449033
2011,,30 a 69,,448465
2010,,30 a 69,,450080.5
2009,,30 a 69,,451380
2019,,30 a 69,,9.46
2018,,30 a 69,,10.32
2017,,30 a 69,,6.49
2016,,30 a 69,,7.61
2015,,30 a 69,,9.63
2014,,30 a 69,,8.98
2013,,30 a 69,,8.72
2012,,30 a 69,,8.24
2011,,30 a 69,,8.25
2010,,30 a 69,,12
2009,,30 a 69,,7.75
2019,,>=70,,16
2018,,>=70,,14
2017,,>=70,,9
2016,,>=70,,10
2015,,>=70,,8
2014,,>=70,,11
2013,,>=70,,7
2012,,>=70,,14
2011,,>=70,,7
2010,,>=70,,7
2009,,>=70,,11
2021,,>=70,,125609
2020,,>=70,,124375
2019,,>=70,,121614
2018,,>=70,,119551
2017,,>=70,,117657
2016,,>=70,,115554
2015,,>=70,,113294
2014,,>=70,,111315
2013,,>=70,,109439
2012,,>=70,,108437
2011,,>=70,,107810
2010,,>=70,,105138
2009,,>=70,,105676
2020,,>=70,,124992
2019,,>=70,,122994.5
2018,,>=70,,120582.5
2017,,>=70,,118604
2016,,>=70,,116605.5
2015,,>=70,,114424
2014,,>=70,,112304.5
2013,,>=70,,110377
2012,,>=70,,108938
2011,,>=70,,108123.5
2010,,>=70,,106474
2009,,>=70,,105407
2019,,>=70,,13.01
2018,,>=70,,11.61
2017,,>=70,,7.59
2016,,>=70,,8.58
2015,,>=70,,6.99
2014,,>=70,,9.79
2013,,>=70,,6.34
2012,,>=70,,12.85
2011,,>=70,,6.47
2010,,>=70,,6.57
2009,,>=70,,10.44
2015,,,1,12
2015,,,2,10
2015,,,3,16
2015,,,4,11
2015,,,5,16
2015,,,6,7
2015,,,7,20
2015,,,8,17
2015,,,9,17
2015,,,10,32
2015,,,11,16
2015,,,12,23
2015,,,13,16
2015,,,14,11
2015,,,15,14
2015,,,16,15
2015,,,17,1
2015,,,18,5
2015,,,19,3
2021,,,1,27525
2020,,,1,27418
2019,,,1,27070
2018,,,1,27259
2017,,,1,26810
2016,,,1,26769
2015,,,1,26472
2014,,,1,26221
2013,,,1,26373
2012,,,1,26368
2011,,,1,25854
2010,,,1,25944
2009,,,1,25924
2021,,,2,42853
2020,,,2,42826
2019,,,2,42618
2018,,,2,42778
2017,,,2,42615
2016,,,2,42406
2015,,,2,42180
2014,,,2,42411
2013,,,2,42840
2012,,,2,43190
2011,,,2,43117
2010,,,2,43914
2009,,,2,44099
2021,,,3,48728
2020,,,3,48877
2019,,,3,48617
2018,,,3,48762
2017,,,3,48475
2016,,,3,48287
2015,,,3,48208
2014,,,3,48302
2013,,,3,49001
2012,,,3,49377
2011,,,3,49410
2010,,,3,50036
2009,,,3,49940
2021,,,4,38674
2020,,,4,38736
2019,,,4,38338
2018,,,4,38164
2017,,,4,37774
2016,,,4,37562
2015,,,4,37084
2014,,,4,36889
2013,,,4,36807
2012,,,4,36725
2011,,,4,36442
2010,,,4,36399
2009,,,4,36123
2021,,,5,47274
2020,,,5,47491
2019,,,5,47092
2018,,,5,47383
2017,,,5,46891
2016,,,5,46818
2015,,,5,46718
2014,,,5,46873
2013,,,5,47617
2012,,,5,48168
2011,,,5,48337
2010,,,5,49324
2009,,,5,49775
2021,,,6,30667
2020,,,6,30644
2019,,,6,30538
2018,,,6,30706
2017,,,6,30362
2016,,,6,30116
2015,,,6,30124
2014,,,6,30428
2013,,,6,30858
2012,,,6,30843
2011,,,6,30887
2010,,,6,31160
2009,,,6,31536
2021,,,7,49186
2020,,,7,49250
2019,,,7,48550
2018,,,7,48639
2017,,,7,48311
2016,,,7,48221
2015,,,7,48105
2014,,,7,48186
2013,,,7,48635
2012,,,7,49231
2011,,,7,49703
2010,,,7,50607
2009,,,7,51324
2021,,,8,57833
2020,,,8,58053
2019,,,8,57783
2018,,,8,57972
2017,,,8,57630
2016,,,8,57573
2015,,,8,57356
2014,,,8,57352
2013,,,8,57629
2012,,,8,57808
2011,,,8,57999
2010,,,8,58629
2009,,,8,58947
2021,,,9,52489
2020,,,9,52917
2019,,,9,52623
2018,,,9,52708
2017,,,9,52226
2016,,,9,52261
2015,,,9,51943
2014,,,9,52019
2013,,,9,52395
2012,,,9,52879
2011,,,9,53041
2010,,,9,53971
2009,,,9,54330
2021,,,10,74308
2020,,,10,74518
2019,,,10,73915
2018,,,10,74116
2017,,,10,73769
2016,,,10,73664
2015,,,10,73067
2014,,,10,72916
2013,,,10,73132
2012,,,10,73661
2011,,,10,73809
2010,,,10,75038
2009,,,10,75850
2021,,,11,55760
2020,,,11,55725
2019,,,11,55843
2018,,,11,56923
2017,,,11,56643
2016,,,11,57590
2015,,,11,57710
2014,,,11,57893
2013,,,11,58539
2012,,,11,59180
2011,,,11,59492
2010,,,11,60156
2009,,,11,60575
2021,,,12,65981
2020,,,12,65890
2019,,,12,65451
2018,,,12,65927
2017,,,12,65320
2016,,,12,65119
2015,,,12,64536
2014,,,12,64245
2013,,,12,64746
2012,,,12,64888
2011,,,12,65016
2010,,,12,65487
2009,,,12,65444
2021,,,13,36390
2020,,,13,36657
2019,,,13,36711
2018,,,13,37170
2017,,,13,37043
2016,,,13,37191
2015,,,13,37210
2014,,,13,37322
2013,,,13,37849
2012,,,13,38421
2011,,,13,38686
2010,,,13,39647
2009,,,13,40307
2021,,,14,28575
2020,,,14,28686
2019,,,14,28718
2018,,,14,29091
2017,,,14,29038
2016,,,14,29096
2015,,,14,28868
2014,,,14,28926
2013,,,14,29046
2012,,,14,29411
2011,,,14,29799
2010,,,14,30243
2009,,,14,30626
2021,,,15,54130
2020,,,15,54233
2019,,,15,53570
2018,,,15,53499
2017,,,15,52764
2016,,,15,52749
2015,,,15,52210
2014,,,15,52000
2013,,,15,52644
2012,,,15,52949
2011,,,15,53058
2010,,,15,53853
2009,,,15,54372
2021,,,16,47385
2020,,,16,47421
2019,,,16,46699
2018,,,16,46359
2017,,,16,45638
2016,,,16,45460
2015,,,16,44931
2014,,,16,44644
2013,,,16,44881
2012,,,16,44839
2011,,,16,44561
2010,,,16,44603
2009,,,16,44684
2021,,,17,6657
2020,,,17,6582
2019,,,17,6566
2018,,,17,6548
2017,,,17,6535
2016,,,17,6529
2015,,,17,6478
2014,,,17,6458
2013,,,17,6480
2012,,,17,6485
2011,,,17,6593
2010,,,17,6600
2009,,,17,6579
2021,,,18,14544
2020,,,18,14581
2019,,,18,14387
2018,,,18,14099
2017,,,18,14005
2016,,,18,13993
2015,,,18,13969
2014,,,18,14024
2013,,,18,14189
2012,,,18,14203
2011,,,18,14235
2010,,,18,14348
2009,,,18,14307
2021,,,19,21221
2020,,,19,21040
2019,,,19,20647
2018,,,19,20435
2017,,,19,20237
2016,,,19,20228
2015,,,19,20097
2014,,,19,20192
2013,,,19,20567
2012,,,19,20562
2011,,,19,20430
2010,,,19,20485
2009,,,19,20698
2015,,,1,9.14
2015,,,2,4.68
2015,,,3,6.55
2015,,,4,5.98
2015,,,5,6.73
2015,,,6,4.57
2015,,,7,8.2
2015,,,8,5.9
2015,,,9,6.48
2015,,,10,8.73
2015,,,11,5.46
2015,,,12,7.11
2015,,,13,8.44
2015,,,14,7.53
2015,,,15,5.33
2015,,,16,6.7
2015,,,17,3.08
2015,,,18,7.08
2015,,,19,2.95
