Year,Gender,Age,Value
2019,,,13
2018,,,10
2017,,,12
2016,,,18
2015,,,28
2014,,,24
2013,,,28
2012,,,27
2011,,,41
2010,,,29
2009,,,38
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,1.63
2018,,,1.25
2017,,,1.51
2016,,,2.27
2015,,,3.55
2014,,,3.05
2013,,,3.54
2012,,,3.39
2011,,,5.13
2010,,,3.6
2009,,,4.67
2019,Men,,10
2018,Men,,7
2017,Men,,9
2016,Men,,14
2015,Men,,24
2014,Men,,18
2013,Men,,24
2012,Men,,20
2011,Men,,31
2010,Men,,21
2009,Men,,22
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,2.63
2018,Men,,1.84
2017,Men,,2.37
2016,Men,,3.7
2015,Men,,6.36
2014,Men,,4.79
2013,Men,,6.35
2012,Men,,5.24
2011,Men,,8.08
2010,Men,,5.42
2009,Men,,5.61
2019,Women,,3
2018,Women,,3
2017,Women,,3
2016,Women,,4
2015,Women,,4
2014,Women,,6
2013,Women,,4
2012,Women,,7
2011,Women,,10
2010,Women,,8
2009,Women,,16
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,0.72
2018,Women,,0.72
2017,Women,,0.72
2016,Women,,0.97
2015,Women,,0.97
2014,Women,,1.46
2013,Women,,0.97
2012,Women,,1.69
2011,Women,,2.4
2010,Women,,1.91
2009,Women,,3.8
2019,,<30,1
2018,,<30,0
2017,,<30,0
2016,,<30,1
2015,,<30,1
2014,,<30,2
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,0
2009,,<30,0
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
2018,,<30,230851
2017,,<30,229856.5
2016,,<30,228691
2015,,<30,228480.5
2014,,<30,229371
2013,,<30,233302.5
2012,,<30,238737
2011,,<30,243240
2010,,<30,248902
2009,,<30,256155
2019,,<30,0.43
2018,,<30,0
2017,,<30,0
2016,,<30,0.44
2015,,<30,0.44
2014,,<30,0.87
2013,,<30,0
2012,,<30,0
2011,,<30,0
2010,,<30,0
2009,,<30,0
2019,,30 a 69,11
2018,,30 a 69,9
2017,,30 a 69,11
2016,,30 a 69,17
2015,,30 a 69,22
2014,,30 a 69,22
2013,,30 a 69,28
2012,,30 a 69,27
2011,,30 a 69,39
2010,,30 a 69,28
2009,,30 a 69,37
2021,,30 a 69,443306
2020,,30 a 69,444573
2019,,30 a 69,443420
2018,,30 a 69,447987
2017,,30 a 69,445716
2016,,30 a 69,447409
2015,,30 a 69,445680
2014,,30 a 69,445536
2013,,30 a 69,448634
2012,,30 a 69,449432
2011,,30 a 69,447498
2010,,30 a 69,452663
2009,,30 a 69,450097
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608
2013,,30 a 69,447085
2012,,30 a 69,449033
2011,,30 a 69,448465
2010,,30 a 69,450080.5
2009,,30 a 69,451380
2019,,30 a 69,2.48
2018,,30 a 69,2.02
2017,,30 a 69,2.46
2016,,30 a 69,3.81
2015,,30 a 69,4.93
2014,,30 a 69,4.94
2013,,30 a 69,6.26
2012,,30 a 69,6.01
2011,,30 a 69,8.7
2010,,30 a 69,6.22
2009,,30 a 69,8.2
2019,,>=70,1
2018,,>=70,1
2017,,>=70,1
2016,,>=70,0
2015,,>=70,5
2014,,>=70,0
2013,,>=70,0
2012,,>=70,0
2011,,>=70,2
2010,,>=70,1
2009,,>=70,1
2021,,>=70,125609
2020,,>=70,124375
2019,,>=70,121614
2018,,>=70,119551
2017,,>=70,117657
2016,,>=70,115554
2015,,>=70,113294
2014,,>=70,111315
2013,,>=70,109439
2012,,>=70,108437
2011,,>=70,107810
2010,,>=70,105138
2009,,>=70,105676
2020,,>=70,124992
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604
2016,,>=70,116605.5
2015,,>=70,114424
2014,,>=70,112304.5
2013,,>=70,110377
2012,,>=70,108938
2011,,>=70,108123.5
2010,,>=70,106474
2009,,>=70,105407
2019,,>=70,0.81
2018,,>=70,0.83
2017,,>=70,0.84
2016,,>=70,0
2015,,>=70,4.37
2014,,>=70,0
2013,,>=70,0
2012,,>=70,0
2011,,>=70,1.85
2010,,>=70,0.94
2009,,>=70,0.95
