Year,Gender,GeoCode,Value
2020,,,23
2019,,,16
2018,,,19
2017,,,23
2016,,,19
2015,,,12
2014,,,24
2013,,,22
2012,,,26
2011,,,26
2010,,,39
2009,,,34
2020,,,5655
2019,,,5823
2018,,,6014
2017,,,6196
2016,,,6637
2015,,,6523
2014,,,6734
2013,,,6743
2012,,,7344
2011,,,7596
2010,,,7812
2009,,,8035
2020,,,4.07
2019,,,2.75
2018,,,3.16
2017,,,3.71
2016,,,2.86
2015,,,1.84
2014,,,3.56
2013,,,3.26
2012,,,3.54
2011,,,3.42
2010,,,4.99
2009,,,4.23
2020,Men,,12
2019,Men,,8
2018,Men,,14
2017,Men,,15
2016,Men,,16
2015,Men,,6
2014,Men,,13
2013,Men,,8
2012,Men,,19
2011,Men,,18
2010,Men,,19
2009,Men,,21
2020,Men,,2867
2019,Men,,2997
2018,Men,,3130
2017,Men,,3211
2016,Men,,3420
2015,Men,,3333
2014,Men,,3494
2013,Men,,3453
2012,Men,,3804
2011,Men,,3866
2010,Men,,4011
2009,Men,,4250
2020,Men,,4.19
2019,Men,,2.67
2018,Men,,4.47
2017,Men,,4.67
2016,Men,,4.68
2015,Men,,1.8
2014,Men,,3.72
2013,Men,,2.32
2012,Men,,4.99
2011,Men,,4.66
2010,Men,,4.74
2009,Men,,4.94
2020,Women,,11
2019,Women,,8
2018,Women,,5
2017,Women,,8
2016,Women,,3
2015,Women,,6
2014,Women,,11
2013,Women,,14
2012,Women,,7
2011,Women,,8
2010,Women,,20
2009,Women,,13
2020,Women,,2788
2019,Women,,2826
2018,Women,,2884
2017,Women,,2985
2016,Women,,3217
2015,Women,,3190
2014,Women,,3249
2013,Women,,3290
2012,Women,,3540
2011,Women,,3730
2010,Women,,3801
2009,Women,,3785
2020,Women,,3.95
2019,Women,,2.83
2018,Women,,1.73
2017,Women,,2.68
2016,Women,,0.93
2015,Women,,1.88
2014,Women,,3.39
2013,Women,,4.26
2012,Women,,1.98
2011,Women,,2.14
2010,Women,,5.26
2009,Women,,3.43
2020,,1,2
2019,,1,0
2018,,1,1
2017,,1,1
2016,,1,2
2015,,1,0
2014,,1,0
2013,,1,1
2012,,1,1
2011,,1,1
2010,,1,2
2009,,1,0
2020,,2,1
2019,,2,0
2018,,2,0
2017,,2,0
2016,,2,1
2015,,2,1
2014,,2,2
2013,,2,2
2012,,2,2
2011,,2,1
2010,,2,2
2009,,2,1
2020,,3,0
2019,,3,0
2018,,3,1
2017,,3,2
2016,,3,1
2015,,3,0
2014,,3,1
2013,,3,0
2012,,3,2
2011,,3,0
2010,,3,1
2009,,3,0
2020,,4,0
2019,,4,1
2018,,4,0
2017,,4,0
2016,,4,1
2015,,4,0
2014,,4,1
2013,,4,1
2012,,4,0
2011,,4,2
2010,,4,1
2009,,4,1
2020,,5,1
2019,,5,0
2018,,5,2
2017,,5,0
2016,,5,1
2015,,5,1
2014,,5,2
2013,,5,0
2012,,5,1
2011,,5,4
2010,,5,4
2009,,5,0
2020,,6,1
2019,,6,0
2018,,6,0
2017,,6,1
2016,,6,1
2015,,6,0
2014,,6,0
2013,,6,0
2012,,6,0
2011,,6,2
2010,,6,0
2009,,6,0
2020,,7,1
2019,,7,2
2018,,7,1
2017,,7,3
2016,,7,0
2015,,7,0
2014,,7,0
2013,,7,2
2012,,7,0
2011,,7,2
2010,,7,0
2009,,7,1
2020,,8,1
2019,,8,0
2018,,8,2
2017,,8,1
2016,,8,1
2015,,8,1
2014,,8,1
2013,,8,1
2012,,8,1
2011,,8,1
2010,,8,4
2009,,8,2
2020,,9,2
2019,,9,0
2018,,9,0
2017,,9,2
2016,,9,1
2015,,9,0
2014,,9,1
2013,,9,0
2012,,9,3
2011,,9,1
2010,,9,2
2009,,9,0
2020,,10,0
2019,,10,3
2018,,10,3
2017,,10,0
2016,,10,1
2015,,10,0
2014,,10,1
2013,,10,4
2012,,10,3
2011,,10,3
2010,,10,2
2009,,10,2
2020,,11,1
2019,,11,1
2018,,11,0
2017,,11,4
2016,,11,2
2015,,11,2
2014,,11,1
2013,,11,1
2012,,11,4
2011,,11,0
2010,,11,3
2009,,11,2
2020,,12,1
2019,,12,2
2018,,12,2
2017,,12,1
2016,,12,0
2015,,12,1
2014,,12,2
2013,,12,0
2012,,12,2
2011,,12,1
2010,,12,2
2009,,12,5
2020,,13,0
2019,,13,1
2018,,13,0
2017,,13,2
2016,,13,1
2015,,13,1
2014,,13,0
2013,,13,0
2012,,13,0
2011,,13,0
2010,,13,1
2009,,13,3
2020,,14,0
2019,,14,0
2018,,14,0
2017,,14,1
2016,,14,0
2015,,14,0
2014,,14,0
2013,,14,0
2012,,14,1
2011,,14,0
2010,,14,0
2009,,14,0
2020,,15,1
2019,,15,2
2018,,15,1
2017,,15,0
2016,,15,0
2015,,15,0
2014,,15,1
2013,,15,3
2012,,15,2
2011,,15,3
2010,,15,1
2009,,15,1
2020,,16,0
2019,,16,0
2018,,16,3
2017,,16,2
2016,,16,3
2015,,16,1
2014,,16,0
2013,,16,3
2012,,16,0
2011,,16,2
2010,,16,3
2009,,16,1
2020,,17,0
2019,,17,0
2018,,17,1
2017,,17,0
2016,,17,0
2015,,17,0
2014,,17,0
2013,,17,0
2012,,17,0
2011,,17,0
2010,,17,0
2009,,17,0
2020,,18,0
2019,,18,0
2018,,18,0
2017,,18,1
2016,,18,1
2015,,18,0
2014,,18,0
2013,,18,1
2012,,18,1
2011,,18,0
2010,,18,2
2009,,18,0
2020,,19,0
2019,,19,0
2018,,19,0
2017,,19,0
2016,,19,1
2015,,19,0
2014,,19,0
2013,,19,0
2012,,19,0
2011,,19,1
2010,,19,0
2009,,19,0
2020,,1,175
2019,,1,211
2018,,1,190
2017,,1,220
2016,,1,216
2015,,1,216
2014,,1,205
2013,,1,244
2012,,1,237
2011,,1,242
2010,,1,235
2009,,1,215
2020,,2,302
2019,,2,301
2018,,2,337
2017,,2,342
2016,,2,320
2015,,2,327
2014,,2,330
2013,,2,360
2012,,2,369
2011,,2,406
2010,,2,404
2009,,2,412
2020,,3,344
2019,,3,312
2018,,3,345
2017,,3,353
2016,,3,373
2015,,3,371
2014,,3,358
2013,,3,387
2012,,3,415
2011,,3,448
2010,,3,412
2009,,3,410
2020,,4,262
2019,,4,304
2018,,4,302
2017,,4,320
2016,,4,336
2015,,4,371
2014,,4,343
2013,,4,391
2012,,4,391
2011,,4,390
2010,,4,401
2009,,4,423
2020,,5,356
2019,,5,309
2018,,5,326
2017,,5,334
2016,,5,363
2015,,5,337
2014,,5,345
2013,,5,353
2012,,5,396
2011,,5,393
2010,,5,417
2009,,5,380
2020,,6,255
2019,,6,259
2018,,6,255
2017,,6,250
2016,,6,237
2015,,6,247
2014,,6,234
2013,,6,247
2012,,6,282
2011,,6,327
2010,,6,326
2009,,6,319
2020,,7,348
2019,,7,351
2018,,7,349
2017,,7,321
2016,,7,330
2015,,7,340
2014,,7,350
2013,,7,358
2012,,7,385
