Year,Gender,Value
2020,,774
2019,,973
2018,,1075
2017,,1040
2016,,982
2015,,792
2014,,822
2013,,852
2012,,966
2011,,1085
2010,,1128
2021,,800180
2020,,801545
2019,,795736
2018,,798538
2017,,792086
2016,,791632
2015,,787266
2014,,787301
2013,,794228
2012,,799188
2011,,800469
2010,,810444
2009,,815440
2020,,800862.5
2019,,798640.5
2018,,797137
2017,,795312
2016,,791859
2015,,789449
2014,,787283.5
2013,,790764.5
2012,,796708
2011,,799828.5
2010,,805456.5
2009,,812942
2020,,96.65
2019,,121.83
2018,,134.86
2017,,130.77
2016,,124.01
2015,,100.32
2014,,104.41
2013,,107.74
2012,,121.25
2011,,135.65
2010,,140.04
2020,Men,602
2019,Men,762
2018,Men,849
2017,Men,816
2016,Men,781
2015,Men,609
2014,Men,642
2013,Men,645
2012,Men,724
2011,Men,823
2010,Men,870
2021,Men,380275
2020,Men,381117
2019,Men,378431
2018,Men,380807
2017,Men,377718
2016,Men,378282
2015,Men,376142
2014,Men,375952
2013,Men,380127
2012,Men,383245
2011,Men,384159
2010,Men,390293
2009,Men,393358
2020,Men,380696
2019,Men,379774
2018,Men,379619
2017,Men,379262.5
2016,Men,378000
2015,Men,377212
2014,Men,376047
2013,Men,378039.5
2012,Men,381686
2011,Men,383702
2010,Men,387226
2009,Men,391825.5
2020,Men,158.13
2019,Men,200.65
2018,Men,223.65
2017,Men,215.15
2016,Men,206.61
2015,Men,161.45
2014,Men,170.72
2013,Men,170.62
2012,Men,189.68
2011,Men,214.49
2010,Men,224.67
2020,Women,172
2019,Women,211
2018,Women,226
2017,Women,224
2016,Women,201
2015,Women,183
2014,Women,180
2013,Women,207
2012,Women,242
2011,Women,262
2010,Women,258
2021,Women,419905
2020,Women,420428
2019,Women,417305
2018,Women,417731
2017,Women,414368
2016,Women,413350
2015,Women,411124
2014,Women,411349
2013,Women,414101
2012,Women,415943
2011,Women,416310
2010,Women,420151
2009,Women,422082
2020,Women,420166.5
2019,Women,418866.5
2018,Women,417518
2017,Women,416049.5
2016,Women,413859
2015,Women,412237
2014,Women,411236.5
2013,Women,412725
2012,Women,415022
2011,Women,416126.5
2010,Women,418230.5
2009,Women,421116.5
2020,Women,40.94
2019,Women,50.37
2018,Women,54.13
2017,Women,53.84
2016,Women,48.57
2015,Women,44.39
2014,Women,43.77
2013,Women,50.15
2012,Women,58.31
2011,Women,62.96
2010,Women,61.69
