Year,Gender,Value
2020,,483
2019,,718
2018,,789
2017,,783
2016,,780
2015,,664
2014,,715
2013,,747
2012,,719
2011,,937
2010,,844
2021,,800180
2020,,801545
2019,,795736
2018,,798538
2017,,792086
2016,,791632
2015,,787266
2014,,787301
2013,,794228
2012,,799188
2011,,800469
2010,,810444
2009,,815440
2020,,800862.5
2019,,798640.5
2018,,797137
2017,,795312
2016,,791859
2015,,789449
2014,,787283.5
2013,,790764.5
2012,,796708
2011,,799828.5
2010,,805456.5
2009,,812942
2020,,60.31
2019,,89.9
2018,,98.98
2017,,98.45
2016,,98.5
2015,,84.11
2014,,90.82
2013,,94.47
2012,,90.25
2011,,117.15
2010,,104.79
2020,Men,326
2019,Men,528
2018,Men,579
2017,Men,586
2016,Men,568
2015,Men,497
2014,Men,527
2013,Men,538
2012,Men,536
2011,Men,696
2010,Men,628
2021,Men,380275
2020,Men,381117
2019,Men,378431
2018,Men,380807
2017,Men,377718
2016,Men,378282
2015,Men,376142
2014,Men,375952
2013,Men,380127
2012,Men,383245
2011,Men,384159
2010,Men,390293
2009,Men,393358
2020,Men,380696
2019,Men,379774
2018,Men,379619
2017,Men,379262.5
2016,Men,378000
2015,Men,377212
2014,Men,376047
2013,Men,378039.5
2012,Men,381686
2011,Men,383702
2010,Men,387226
2009,Men,391825.5
2020,Men,85.63
2019,Men,139.03
2018,Men,152.52
2017,Men,154.51
2016,Men,150.26
2015,Men,131.76
2014,Men,140.14
2013,Men,142.31
2012,Men,140.43
2011,Men,181.39
2010,Men,162.18
2020,Women,157
2019,Women,190
2018,Women,210
2017,Women,197
2016,Women,212
2015,Women,167
2014,Women,188
2013,Women,209
2012,Women,183
2011,Women,241
2010,Women,216
2021,Women,419905
2020,Women,420428
2019,Women,417305
2018,Women,417731
2017,Women,414368
2016,Women,413350
2015,Women,411124
2014,Women,411349
2013,Women,414101
2012,Women,415943
2011,Women,416310
2010,Women,420151
2009,Women,422082
2020,Women,420166.5
2019,Women,418866.5
2018,Women,417518
2017,Women,416049.5
2016,Women,413859
2015,Women,412237
2014,Women,411236.5
2013,Women,412725
2012,Women,415022
2011,Women,416126.5
2010,Women,418230.5
2009,Women,421116.5
2020,Women,37.37
2019,Women,45.36
2018,Women,50.3
2017,Women,47.35
2016,Women,51.23
2015,Women,40.51
2014,Women,45.72
2013,Women,50.64
2012,Women,44.09
2011,Women,57.92
2010,Women,51.65
