Year,Gender,Age,Value
2019,,,1986
2018,,,1949
2017,,,2079
2016,,,1964
2015,,,2019
2014,,,2036
2013,,,1984
2012,,,1987
2011,,,2027
2010,,,1973
2009,,,1934
2021,,,800180
2020,,,801545
2019,,,795736
2018,,,798538
2017,,,792086
2016,,,791632
2015,,,787266
2014,,,787301
2013,,,794228
2012,,,799188
2011,,,800469
2010,,,810444
2009,,,815440
2020,,,800862.5
2019,,,798640.5
2018,,,797137
2017,,,795312
2016,,,791859
2015,,,789449
2014,,,787283.5
2013,,,790764.5
2012,,,796708
2011,,,799828.5
2010,,,805456.5
2009,,,812942
2019,,,248.67
2018,,,244.5
2017,,,261.41
2016,,,248.02
2015,,,255.75
2014,,,258.61
2013,,,250.9
2012,,,249.4
2011,,,253.43
2010,,,244.95
2009,,,237.9
2019,Men,,1178
2018,Men,,1117
2017,Men,,1197
2016,Men,,1141
2015,Men,,1185
2014,Men,,1200
2013,Men,,1143
2012,Men,,1148
2011,Men,,1185
2010,Men,,1206
2009,Men,,1130
2021,Men,,380275
2020,Men,,381117
2019,Men,,378431
2018,Men,,380807
2017,Men,,377718
2016,Men,,378282
2015,Men,,376142
2014,Men,,375952
2013,Men,,380127
2012,Men,,383245
2011,Men,,384159
2010,Men,,390293
2009,Men,,393358
2020,Men,,380696
2019,Men,,379774
2018,Men,,379619
2017,Men,,379262.5
2016,Men,,378000
2015,Men,,377212
2014,Men,,376047
2013,Men,,378039.5
2012,Men,,381686
2011,Men,,383702
2010,Men,,387226
2009,Men,,391825.5
2019,Men,,310.18
2018,Men,,294.24
2017,Men,,315.61
2016,Men,,301.85
2015,Men,,314.15
2014,Men,,319.11
2013,Men,,302.35
2012,Men,,300.77
2011,Men,,308.83
2010,Men,,311.45
2009,Men,,288.39
2019,Women,,808
2018,Women,,832
2017,Women,,882
2016,Women,,823
2015,Women,,834
2014,Women,,836
2013,Women,,841
2012,Women,,839
2011,Women,,842
2010,Women,,767
2009,Women,,804
2021,Women,,419905
2020,Women,,420428
2019,Women,,417305
2018,Women,,417731
2017,Women,,414368
2016,Women,,413350
2015,Women,,411124
2014,Women,,411349
2013,Women,,414101
2012,Women,,415943
2011,Women,,416310
2010,Women,,420151
2009,Women,,422082
2020,Women,,420166.5
2019,Women,,418866.5
2018,Women,,417518
2017,Women,,416049.5
2016,Women,,413859
2015,Women,,412237
2014,Women,,411236.5
2013,Women,,412725
2012,Women,,415022
2011,Women,,416126.5
2010,Women,,418230.5
2009,Women,,421116.5
2019,Women,,192.9
2018,Women,,199.27
2017,Women,,211.99
2016,Women,,198.86
2015,Women,,202.31
2014,Women,,203.29
2013,Women,,203.77
2012,Women,,202.16
2011,Women,,202.34
2010,Women,,183.39
2009,Women,,190.92
2019,,<30,4
2018,,<30,10
2017,,<30,3
2016,,<30,3
2015,,<30,7
2014,,<30,6
2013,,<30,9
2012,,<30,8
2011,,<30,4
2010,,<30,12
2009,,<30,7
2021,,<30,231265
2020,,<30,232597
2019,,<30,230702
2018,,<30,231000
2017,,<30,228713
2016,,<30,228669
2015,,<30,228292
2014,,<30,230450
2013,,<30,236155
2012,,<30,241319
2011,,<30,245161
2010,,<30,252643
2009,,<30,259667
2020,,<30,231931
2019,,<30,231649.5
2018,,<30,230851
2017,,<30,229856.5
2016,,<30,228691
2015,,<30,228480.5
2014,,<30,229371
2013,,<30,233302.5
2012,,<30,238737
2011,,<30,243240
2010,,<30,248902
2009,,<30,256155
2019,,<30,1.73
2018,,<30,4.33
2017,,<30,1.31
2016,,<30,1.31
2015,,<30,3.06
2014,,<30,2.62
2013,,<30,3.86
2012,,<30,3.35
2011,,<30,1.64
2010,,<30,4.82
2009,,<30,2.73
2019,,30 a 69,680
2018,,30 a 69,697
2017,,30 a 69,733
2016,,30 a 69,740
2015,,30 a 69,742
2014,,30 a 69,794
2013,,30 a 69,726
2012,,30 a 69,709
2011,,30 a 69,736
2010,,30 a 69,731
2009,,30 a 69,708
2021,,30 a 69,443306
2020,,30 a 69,444573
2019,,30 a 69,443420
2018,,30 a 69,447987
2017,,30 a 69,445716
2016,,30 a 69,447409
2015,,30 a 69,445680
2014,,30 a 69,445536
2013,,30 a 69,448634
2012,,30 a 69,449432
2011,,30 a 69,447498
2010,,30 a 69,452663
2009,,30 a 69,450097
2020,,30 a 69,443939.5
2019,,30 a 69,443996.5
2018,,30 a 69,445703.5
2017,,30 a 69,446851.5
2016,,30 a 69,446562.5
2015,,30 a 69,446544.5
2014,,30 a 69,445608
2013,,30 a 69,447085
2012,,30 a 69,449033
2011,,30 a 69,448465
2010,,30 a 69,450080.5
2009,,30 a 69,451380
2019,,30 a 69,153.15
2018,,30 a 69,156.38
2017,,30 a 69,164.04
2016,,30 a 69,165.71
2015,,30 a 69,166.16
2014,,30 a 69,178.18
2013,,30 a 69,162.39
2012,,30 a 69,157.89
2011,,30 a 69,164.12
2010,,30 a 69,162.42
2009,,30 a 69,156.85
2019,,>=70,1302
2018,,>=70,1242
2017,,>=70,1343
2016,,>=70,1221
2015,,>=70,1269
2014,,>=70,1236
2013,,>=70,1248
2012,,>=70,1270
2011,,>=70,1287
2010,,>=70,1230
2009,,>=70,1219
2021,,>=70,125609
2020,,>=70,124375
2019,,>=70,121614
2018,,>=70,119551
2017,,>=70,117657
2016,,>=70,115554
2015,,>=70,113294
2014,,>=70,111315
2013,,>=70,109439
2012,,>=70,108437
2011,,>=70,107810
2010,,>=70,105138
2009,,>=70,105676
2020,,>=70,124992
2019,,>=70,122994.5
2018,,>=70,120582.5
2017,,>=70,118604
2016,,>=70,116605.5
2015,,>=70,114424
2014,,>=70,112304.5
2013,,>=70,110377
2012,,>=70,108938
2011,,>=70,108123.5
2010,,>=70,106474
2009,,>=70,105407
2019,,>=70,1058.58
2018,,>=70,1030
2017,,>=70,1132.34
2016,,>=70,1047.12
2015,,>=70,1109.03
2014,,>=70,1100.58
2013,,>=70,1130.67
2012,,>=70,1165.8
2011,,>=70,1190.31
2010,,>=70,1155.21
2009,,>=70,1156.47
